en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue,backtrans_cue,backtrans_target,backtrans_cue_match,backtrans_target_match,backtrans_needs_review
relationship,friendship,звязок,дружба,False,,звязок,the ligament,friendship,False,True,True
scare,frighten,налякати,налякати,True,страх,страх,fear,to scare,False,False,True
apple,fruit,яблуко,фрукти,False,,яблуко,the apple,fruits,False,False,True
gas,fuel,газ,паливо,False,,газ,the gas,fuel,False,True,True
refugee,fugitive,біженця,втікач,False,,біженця,the refugee,the fugitive,False,False,True
empty,full,порожній,повний,False,,порожній,empty,full,True,True,False
operational,functional,операційний,функціональний,False,,операційний,operational,functional,True,True,False
budget,funding,бюджет,фінансування,False,,бюджет,the budget,funding,False,True,True
coffin,funeral,труна,похорон,False,,труна,the coffin,the funeral,False,False,True
witty,funny,дотепний,смішно,False,,дотепний,its funny,its funny,False,False,True
universe,galaxy,всесвіт,галактика,False,,всесвіт,the world,the galaxy,False,False,True
play,game,грати,гра,False,,грати,play,game,True,True,False
workshop,garage,семінар,гараж,False,,семінар,the seminar,the garage,False,False,True
trash,garbage,сміття,сміття,True,кальян,кальян,the canyon,waste,False,False,True
portal,gate,портал,ворота,False,,портал,the portal,the gate,False,False,True
collect,gather,збирати,зібрати,False,,збирати,collecting,gather,False,True,True
lesbian,gay,лесбіянка,гей,False,,лесбіянка,lesbian or gay,gay people,False,False,True
naturally,generally,природно,загалом,False,,природно,naturally,overall,True,False,True
compassionate,generous,співчутливий,щедрий,False,,співчутливий,compassionate,generous,True,True,False
soft,gentle,мякий,нежно,False,,мякий,soft,gently,True,False,True
compliment,gift,комплімент,подарунок,False,,комплімент,the compliment,the gift,False,False,True
boys,girls,хлопчики,дівчата,False,,хлопчики,the boys,the girls,False,False,True
offer,give,пропозиція,дати,False,,пропозиція,the proposal,date and time,False,False,True
national,global,національний,глобальний,False,,національний,national,global,True,True,False
glorious,glory,славний,слава,False,,славний,glorious,glory to god,True,False,True
enter,go,ввійти,іди,False,,ввійти,to enter,go on then,False,False,True
monkey,gorilla,мавпа,горилла,False,,мавпа,the monkey,the gorilla,False,False,True
administration,government,адміністрація,уряд,False,,адміністрація,the administration,government,False,True,True
diploma,graduate,диплом,випускник,False,,диплом,the diploma,graduate,False,True,True
kilo,gram,кіло,грам,False,,кіло,one kilogram,grams,False,False,True
grandfather,grandmother,дідусь,бабуся,False,,дідусь,my grandfather,my grandmother,False,False,True
hospitality,gratitude,гостинність,вдячність,False,,гостинність,hospitality,thank you,True,False,True
excellent,great,відмінно,чудово,False,,відмінно,very well,thats great,False,False,True
roman,greek,римський,грецька,False,,римський,roman,greek,True,True,False
congratulate,greet,вітаю,привітання,False,,вітаю,greetings,greetings,False,False,True
gang,group,банда,група,False,,банда,the gang,group,False,True,True
innocent,guilty,невинний,винний,False,,невинний,he is innocent,guilty,False,True,True
piano,guitar,фортепіано,гітара,False,,фортепіано,the piano,the guitar,False,False,True
rifle,gun,гвинтівка,пістолет,False,,гвинтівка,the rifle,the gun,False,False,True
illusion,hallucination,ілюзія,галюцинації,False,,ілюзія,the illusion,hallucinations,False,False,True
sandwich,hamburger,бутерброд,гамбургер,False,,бутерброд,the sandwich,the hamburger,False,False,True
stick,hammer,палиця,молоток,False,,палиця,the palace,the hammer,False,False,True
cloth,handkerchief,тканина,хустка,False,,тканина,fabric,the handkerchief,False,False,True
occur,happen,відбуваються,сталося,False,,відбуваються,occurring,it happened,False,False,True
satisfied,happy,задоволений,щасливий,False,,задоволений,satisfied,happy,True,True,False
bay,harbor,бухта,гавань,False,,бухта,the bay,the harbour,False,False,True
tough,hard,жорсткий,важко,False,,жорсткий,tough,its difficult,True,False,True
balance,harmony,баланс,гармонія,False,,баланс,the balance,harmony,False,True,True
helmet,hat,шлем,капелюх,False,,шлем,the helmet,the hat,False,False,True
base,headquarters,основа,штабквартира,False,,основа,foundation,headquarters,False,True,True
recover,heal,відновити,зцілити,False,,відновити,to restore,heal yourself,False,False,True
listen,hear,слухайте,слухайте,True,розум,розум,the mind,listen to this,False,False,True
sky,heavenly,небо,небесне,False,,небо,the sky,the heavens,False,False,True
heavy,heavily,важкий,сильно,False,,важкий,heavy,strongly,True,False,True
weight,height,вага,висота,False,,вага,weight,height,True,True,False
ambulance,helicopter,швидка допомога,вертоліт,False,,швидка допомога,emergency help,the helicopter,False,False,True
paradise,hell,рай,пекло,False,,рай,the paradise,the hell,False,False,True
cocaine,heroin,кокаїн,героїн,False,,кокаїн,cocaine,the heroin,True,False,True
cover,hide,обкладинка,приховати,False,,обкладинка,the cover,hide,False,True,True
low,high,низький,високий,False,,низький,low,high,True,True,False
majesty,highness,ваше величність,ваше високість,False,,ваше величність,your highness,your height,False,False,True
road,highway,дорога,шосе,False,,дорога,road,highway,True,True,False
aids,hiv,допоміг,віл,False,,допоміг,help,the will,False,False,True
crack,hole,тріщина,діра,False,,тріщина,crack,the hole,True,False,True
christmas,holiday,різдво,відпустка,False,,різдво,christmas,leave,True,False,True
decent,honest,пристойний,чесний,False,,пристойний,decent,honestly,True,False,True
loyalty,honesty,лояльність,чесність,False,,лояльність,loyalty,honesty,True,True,False
privilege,honor,привілей,честь,False,,привілей,privilege,the honor,True,False,True
terrible,horrible,жахливо,жахливо,True,болісне,болісне,painful,its awful,False,False,True
donkey,horse,ослик,кінь,False,,ослик,the donkey,the horse,False,False,True
pump,hose,насос,шланг,False,,насос,pump,the hose,True,False,True
kiss,hug,поцілунок,обійми,False,,поцілунок,the kiss,hugs,False,False,True
big,huge,великий,величезний,False,,великий,the great,its huge,False,False,True
man,human,чоловік,людські,False,,чоловік,the man,human,False,True,True
thousand,hundred,тисячі,сотня,False,,тисячі,thousands,one hundred,False,False,True
tired,hungry,втомився,голодний,False,,втомився,tired,hungry,True,True,False
carbon,hydrogen,вуглець,водню,False,,вуглець,coal,water,False,False,True
fool,idiot,дурниця,ідіот,False,,дурниця,foolishness,the idiot,False,False,True
meaning,importance,значення,важливість,False,,значення,meaning,importance,True,True,False
valuable,important,цінні,важливе,False,,цінні,valuable,important,True,True,False
flatter,impress,плоскіший,вразити,False,,плоскіший,flatter,to impress,True,False,True
penalty,imprisonment,штраф,увязнення,False,,штраф,the fine,imprisonment,False,True,True
change,improvement,зміна,поліпшення,False,,зміна,changes,improvements,False,False,True
profit,income,прибуток,дохід,False,,прибуток,profit,income,True,True,False
point,indicate,точка,вказувати,False,,точка,point,to indicate,True,False,True
person,individual,особа,індивідуальний,False,,особа,person,individual,True,True,False
virus,infection,вірус,інфекція,False,,вірус,the virus,infection,False,True,True
report,inform,звіт,інформувати,False,,звіт,report,to inform,True,False,True
source,informant,джерело,інформатор,False,,джерело,the source,the informant,False,False,True
data,information,дані,інформація,False,,дані,data,other information,True,False,True
heritage,inherit,спадщина,успадкувати,False,,спадщина,inheritance,to inherit,False,False,True
dose,injection,доза,інєкція,False,,доза,the dose,injection,False,True,True
wound,injury,рана,травма,False,,рана,wound,injury,True,True,False
spider,insect,павук,комах,False,,павук,the spider,insects,False,False,True
outside,inside,зовні,всередині,False,,зовні,outside,on the inside,True,False,True
examination,inspection,огляд,інспекція,False,,огляд,view,inspection,False,True,True
inspire,inspiration,натхнення,натхнення,True,покликання,покликання,the calling,inspired,False,False,True
tool,instrument,інструмент,інструмент,True,дік,дік,the deck,the instrument,False,False,True
smart,intelligent,розумний,розумні,False,,розумний,clever,smart,False,False,True
purpose,intention,мета,наміри,False,,мета,purpose,intentions,True,False,True
accidentally,intentionally,випадково,навмисно,False,,випадково,by accident,intentionally,False,True,True
exciting,interesting,захоплююче,цікаво,False,,захоплююче,its exciting,this is interesting,False,False,True
personal,intimate,особистий,інтимний,False,,особистий,personal,intimate,True,True,False
instinct,intuition,інстинкт,інтуїція,False,,інстинкт,the instinct,intuition,False,True,True
finance,invest,фінанси,інвестувати,False,,фінанси,finance,to invest,True,False,True
examine,investigate,оглянути,розслідувати,False,,оглянути,take a look,to investigate,False,False,True
analyst,investigator,аналітик,дослідник,False,,аналітик,analyst,researcher,True,False,True
banker,investor,банкір,інвестор,False,,банкір,the banker,the investor,False,False,True
irony,ironic,іронія,іронія,True,сарказм,сарказм,sarcasm,irony,False,False,True
unreasonable,irresponsible,нерозумний,безвідповідально,False,,нерозумний,foolish,irresponsibly,False,False,True
shirt,jacket,сорочка,куртка,False,,сорочка,shirt,the jacket,True,False,True
diamond,jewel,діамант,ювелірний,False,,діамант,the diamond,jewelry,False,False,True
trick,joke,трюк,жарт,False,,трюк,the trick,the joke,False,False,True
reporter,journalist,репортер,журналіст,False,,репортер,the reporter,the journalist,False,False,True
pleasure,joy,задоволення,радість,False,,задоволення,pleasure,happiness,True,False,True
court,judge,суд,суддя,False,,суд,court,judge,True,True,False
milk,juice,молоко,сок,False,,молоко,the milk,juice,False,True,True
romeo,juliet,ромео,джульєтта,False,,ромео,romeo and juliet,juliet please,False,False,True
june,july,червень,липня,False,,червень,june,july,True,True,False
climb,jump,підніматися,стрибати,False,,підніматися,get up,jump,False,True,True
senior,junior,старший,молодший,False,,старший,senior,younger,True,False,True
revenge,justice,помста,правосуддя,False,,помста,the revenge,justice,False,True,True
hold,keep,тримати,тримати,True,вантажна палуба,вантажна палуба,the cargo deck,hold,False,False,True
poison,kill,отрута,вбити,False,,отрута,the poison,killed,False,False,True
queen,king,королева,король,False,,королева,the queen,the king,False,False,True
royal,kingdom,королівська,королівство,False,,королівська,the royal,the kingdom,False,False,True
shoulder,knee,плече,коліно,False,,плече,shoulders,the knee,False,False,True
recognize,knew,розпізнати,знав,False,,розпізнати,recognize,i knew,True,False,True
sword,knife,меч,нож,False,,меч,the sword,the knife,False,False,True
now,know,тепер,знаю,False,,тепер,now,i know,True,False,True
experience,knowledge,досвід,знання,False,,досвід,experience,knowledge,True,True,False
lord,lady,господи,леді,False,,господи,my lord,the ladies,False,False,True
river,lake,річка,озеро,False,,річка,river,the lake,True,False,True
tenant,landlord,орендатор,власник будинку,False,,орендатор,the tenant,the owner of the house,False,False,True
first,last,спочатку,останній,False,,спочатку,first of all,the last one,False,False,True
smile,laugh,посмішка,смійся,False,,посмішка,smile,laugh it up,True,False,True
member,leader,член,лідер,False,,член,member of,leader,False,True,True
seminar,lecture,семінар,лекція,False,,семінар,the seminar,the lecture,False,False,True
right,left,правильно,ліворуч,False,,правильно,right,left,True,True,False
illegal,legal,незаконно,юридичний,False,,незаконно,illegally,legal,False,True,True
myth,legend,міф,легенда,False,,міф,myth,the legend,True,False,True
size,length,розмір,довжина,False,,розмір,size,length,True,True,False
allow,let,дозволити,дозвольте,False,,дозволити,allow,let me,True,False,True
telegram,letter,телеграма,лист,False,,телеграма,the telegram,the letter,False,False,True
lie,liar,брехня,брехня,True,перевернення,перевернення,conversion,lying,False,False,True
conservative,liberal,консервативний,ліберальний,False,,консервативний,conservative,liberal,True,True,False
suck,lick,сосать,лизати,False,,сосать,the sonate,to lick,False,False,True
sergeant,lieutenant,сержант,лейтенант,False,,сержант,sergeant,lieutenant,True,True,False
darkness,light,темрява,світло,False,,темрява,the darkness,the light,False,False,True
probability,likely,ймовірність,ймовірно,False,,ймовірність,probability,i guess,True,False,True
taxi,limousine,таксі,лімузин,False,,таксі,the taxi,the limousine,False,False,True
ming,ling,мінг,лінг,False,,мінг,ming,ling,True,True,False
dragon,lion,дракон,лев,False,,дракон,the dragon,the lion,False,False,True
art,literature,мистецтво,література,False,,мистецтво,art,and literature,True,False,True
kidney,liver,нирки,печінка,False,,нирки,the kidneys,the liver,False,False,True
frog,lizard,жаба,ящірка,False,,жаба,frog,the lizard,True,False,True
credit,loan,кредит,позика,False,,кредит,the loan,the loan,False,False,True
tuna,lobster,тунец,лобстер,False,,тунец,tuna and,the lobster,False,False,True
regional,local,регіональні,місцевий,False,,регіональні,regional,local,True,True,False
place,location,місце,місце розташування,False,,місце,location,location,False,True,True
key,lock,ключ,замк,False,,ключ,the key,the castle,False,False,True
alone,lonely,один,самотній,False,,один,one,the lonely one,False,False,True
short,long,короткий,довгий,False,,короткий,short,long,True,True,False
hate,love,ненависть,кохання,False,,ненависть,hatred,of love,False,False,True
nice,lovely,приємно,прекрасно,False,,приємно,nice to meet you,thats great,False,False,True
mistress,lover,коханка,коханий,False,,коханка,my lover,beloved,False,False,True
snack,lunch,закуска,обід,False,,закуска,the appetizer,lunch is served,False,False,True
robot,machine,робот,машина,False,,робот,the robot,the car,False,False,True
playboy,magazine,плейбой,журнал,False,,плейбой,playboy,the magazine,True,False,True
nanny,maid,няня,служниця,False,,няня,the nanny,the maid,False,False,True
preserve,maintain,зберегти,підтримувати,False,,зберегти,keep it,support,False,False,True
service,maintenance,послуга,технічне обслуговування,False,,послуга,service,technical maintenance,True,False,True
control,manipulate,контроль,маніпулювати,False,,контроль,control,to manipulate,True,False,True
compass,map,компас,карта,False,,компас,the compass,the map,False,False,True
advertising,marketing,реклама,маркетинг,False,,реклама,advertising,marketing,True,True,False
divorce,marriage,розлучення,шлюб,False,,розлучення,divorce and separation,marriage,False,True,True
single,married,одинокий,одружений,False,,одинокий,lonely,married,False,True,True
yoga,massage,йога,масаж,False,,йога,and yoga,massage,False,True,True
tournament,match,турнір,збіг,False,,турнір,the tournament,the collapse,False,False,True
physics,mathematics,фізика,математика,False,,фізика,physics,mathematics,True,True,False
minimum,maximum,мінімальний,максимальна,False,,мінімальний,the minimum,the maximum,False,False,True
ketchup,mayonnaise,кетчуп,майонез,False,,кетчуп,ketchup,mayonnaise,True,True,False
sheriff,mayor,шериф,мер,False,,шериф,the sheriff,the mayor,False,False,True
food,meal,їжа,їжа,True,їжа для роздумів,їжа для роздумів,food for thought,food,False,False,True
pork,meat,свиняча,мясо,False,,свиняча,of pork,meat,False,True,True
technical,mechanical,технічні,механічні,False,,технічні,technical,mechanical,True,True,False
trophy,medal,трофей,медаль,False,,трофей,the trophy,medal,False,True,True
artifact,medallion,артефакт,медальйон,False,,артефакт,the artifact,the medal,False,False,True
see,meet,дивіться,зустрітися,False,,дивіться,look at that,see you,False,False,True
conference,meeting,конференція,зустріч,False,,конференція,the conference,the meeting,False,False,True
commercial,merchant,комерційний,купець,False,,комерційний,commercial,the merchant,True,False,True
forgiveness,mercy,прощення,милосердя,False,,прощення,forgiveness,mercy,True,True,False
warning,message,попередження,повідомлення,False,,попередження,warning,the message,True,False,True
iron,metal,залізо,метал,False,,залізо,iron,the metal,True,False,True
kilometer,meter,кілометр,метр,False,,кілометр,kilometres,meters,False,False,True
camera,microphone,камера,мікрофон,False,,камера,the camera,the microphone,False,False,True
telescope,microscope,телескоп,мікроскоп,False,,телескоп,the telescope,the microscope,False,False,True
civil,military,цивільне,військові,False,,цивільне,civil,military,True,True,False
ambassador,minister,посол,міністр,False,,посол,the ambassador,minister,False,True,True
embassy,ministry,посольство,міністерство,False,,посольство,the embassy,ministry,False,True,True
plus,minus,плюс,мінус,False,,плюс,plus one,minus one,False,False,True
second,minute,другий,хвилина,False,,другий,second,one minute,True,False,True
reflection,mirror,відбиття,дзеркало,False,,відбиття,beating,the mirror,False,False,True
poverty,misery,бідність,нещастя,False,,бідність,the poverty,the misfortune,False,False,True
unfortunate,misfortune,нещасний,нещастя,False,,нещасний,unhappy,the misfortune,False,False,True
rocket,missile,ракета,ракета,True,рокет,рокет,rocket,rocket,True,False,True
task,mission,завдання,місія,False,,завдання,the task,the mission,False,False,True
error,mistake,помилка,помилка,True,правопорушення,правопорушення,violation of the law,the error,False,False,True
combination,mixture,комбінація,суміш,False,,комбінація,combination,mixture,True,True,False
humble,modest,скромний,скромний,True,абазе,абазе,the abbey,modest,False,True,True
temple,monastery,храм,монастир,False,,храм,the temple,monastery,False,True,True
cash,money,готівка,гроші,False,,готівка,cash,the money,True,False,True
screen,monitor,екран,монітор,False,,екран,the screen,the monitor,False,False,True
tomorrow,morning,завтра,ранку,False,,завтра,see you tomorrow,in the morning,False,False,True
aspirin,morphine,аспірин,морфін,False,,аспірин,the aspirin,the morphine,False,False,True
hotel,motel,готель,мотель,False,,готель,the hotel,the motel,False,False,True
hill,mountain,пагорб,гора,False,,пагорб,the hill,mountain,False,True,True
porn,movie,порно,фільм,False,,порно,pornography,film,False,False,True
daddy,mum,тато,мама,False,,тато,my father,my mother,False,False,True
suicide,murder,самогубство,вбивство,False,,самогубство,suicide,murdered,True,False,True
killer,murderer,вбивця,вбивця,True,морський вовк,морський вовк,the sea wolf,the murderer,False,False,True
nerve,muscle,нерв,мязи,False,,нерв,the nerve,boundaries,False,False,True
library,museum,бібліотека,музей,False,,бібліотека,the library,museum,False,True,True
jazz,music,джаз,музика,False,,джаз,and jazz,music,False,True,True
singer,musician,співак,музикант,False,,співак,the singer,musician,False,True,True
evolution,mutation,еволюція,мутація,False,,еволюція,the evolution,the mutation,False,False,True
secret,mystery,таємниця,таємниця,True,конфіденційне,конфіденційне,confidential,the secret,False,False,True
nude,naked,голий,голий,True,природний,природний,natural,naked,False,True,True
country,nation,країна,нація,False,,країна,country,the nation,True,False,True
diarrhea,nausea,діарея,нудота,False,,діарея,diarrhea,boredom,True,False,True
marine,navy,морські,військовоморський флот,False,,морські,sea,naval fleet,False,False,True
throat,neck,горло,шия,False,,горло,the throat,the neck,False,False,True
ring,necklace,кільце,ожерелье,False,,кільце,the ring,the necklace,False,False,True
necessary,need,необхідно,потреба,False,,необхідно,necessary,need,True,True,False
positive,negative,позитивний,негативний,False,,позитивний,positive,negative,True,True,False
grandson,nephew,онук,племінник,False,,онук,the grandson,nephew,False,True,True
worried,nervous,турбується,нервовий,False,,турбується,worried,nervous,True,True,False
channel,news,канал,новини,False,,канал,channel,news and information,True,False,True
article,newspaper,стаття,газета,False,,стаття,the article,newspaper,False,True,True
midnight,noon,опівночі,полудня,False,,опівночі,its the middle of the night,afternoon,False,False,True
healthy,normal,здоровий,нормально,False,,здоровий,healthy,its all right,True,False,True
south,north,південь,північ,False,,південь,south,north,True,True,False
mouth,nose,рот,ніс,False,,рот,mouth,the nose,True,False,True
atomic,nuclear,атомний,ядерна,False,,атомний,atomic,nuclear,True,True,False
swear,oath,клянуся,присяга,False,,клянуся,i swear,the oath,False,False,True
clearly,obviously,ясно,очевидно,False,,ясно,clearly,obviously,True,True,False
sea,ocean,море,океан,False,,море,the sea,the ocean,False,False,True
september,october,вересень,жовтень,False,,вересень,this is september,october,False,True,True
insult,offend,образа,образити,False,,образа,the image,offended,False,False,True
desk,office,стіл,офіс,False,,стіл,the table,office,False,True,True
officially,official,офіційно,офіційний,False,,офіційно,officially,official,True,True,False
sometimes,often,іноді,часто,False,,іноді,sometimes,frequently,True,False,True
coal,oil,вугілля,олія,False,,вугілля,coal,oil,True,True,False
garlic,onion,часник,цибуля,False,,часник,the garlic,the onion,False,False,True
enemy,opponent,ворог,опонент,False,,ворог,the enemy,opponent,False,True,True
choice,option,вибір,варіант,False,,вибір,selection,the option,False,False,True
green,orange,зелений,помаранчевий,False,,зелений,green,orange,True,True,False
planet,orbit,планета,орбіта,False,,планета,the planet,the orbit,False,False,True
command,order,команда,порядок,False,,команда,team,orderly,False,False,True
arrange,organize,влаштувати,організувати,False,,влаштувати,arrange,to organize,True,False,True
result,outcome,результат,результат,True,наслідки,наслідки,consequences,the result,False,False,True
property,owner,власність,власник,False,,власність,property,owner,True,True,False
air,oxygen,повітря,кисень,False,,повітря,the air,the oxygen,False,False,True
envelope,package,конверт,пакет,False,,конверт,the envelope,the package,False,False,True
suffering,pain,страждання,біль,False,,страждання,suffering,pain,True,True,False
artist,painter,художник,художник,True,творча людина,творча людина,a creative person,artist,False,False,True
section,paragraph,розділ,параграф,False,,розділ,section,the paragraph,True,False,True
supernatural,paranormal,надприродні,паранормальні,False,,надприродні,supernatural,paranormal activity,True,False,True
adult,parent,дорослий,батько,False,,дорослий,adult,father,True,False,True
matter,particle,матерія,частинка,False,,матерія,the matter,particle,False,True,True
reception,party,прийом,вечірка,False,,прийом,receiving,the evening,False,False,True
enthusiasm,passion,ентузіазм,пристрасть,False,,ентузіазм,enthusiasm,passion,True,True,False
ticket,passport,квиток,паспорт,False,,квиток,the ticket,the passport,False,False,True
code,password,код,пароль,False,,код,the code,the password,False,False,True
future,past,майбутнє,минуле,False,,майбутнє,the future,the past,False,False,True
route,path,маршрут,шлях,False,,маршрут,the route,the way,False,False,True
miserable,pathetic,нещасний,жалюгідний,False,,нещасний,unhappy,its a pity,False,False,True
guard,patrol,охоронець,патруль,False,,охоронець,the guard,the patrol,False,False,True
paper,pen,папір,ручка,False,,папір,paper,the pen,True,False,True
vagina,penis,вагіна,пеніс,False,,вагіна,the vagina,the penis,False,False,True
population,people,населення,люди,False,,населення,population,people,True,True,False
ideal,perfect,ідеальний,ідеально,False,,ідеальний,the perfect,perfectly,False,False,True
show,performance,шоу,продуктивність,False,,шоу,the show,productivity,False,False,True
lipstick,perfume,помада,парфюмерия,False,,помада,the lipstick,perfumery,False,False,True
radius,perimeter,радіус,периметр,False,,радіус,radius,the perimeter,True,False,True
phase,period,фаза,період,False,,фаза,phase,period,True,True,False
character,personality,характер,особистість,False,,характер,character,personality,True,True,False
view,perspective,вигляд,перспектива,False,,вигляд,appearance,the prospect,False,False,True
picture,photo,фотографія,фотографія,True,проект,проект,project,the photo,False,False,True
autograph,photographer,автограф,фотограф,False,,автограф,the autograph,the photographer,False,False,True
dictionary,phrase,словник,фраза,False,,словник,the dictionary,the phrase,False,False,True
sexual,physical,сексуальний,фізична,False,,сексуальний,sexual,physical,True,True,False
fragment,piece,фрагмент,шматок,False,,фрагмент,the fragment,piece of,False,False,True
cow,pig,корова,свиня,False,,корова,cows,pigs,False,False,True
tablet,pill,планшети,таблетки,False,,планшети,tablets,the tablets,False,False,True
astronaut,pilot,астронавт,пілот,False,,астронавт,the astronaut,the pilot,False,False,True
preparation,planning,підготовка,планування,False,,підготовка,preparedness,planning,False,True,True
cement,plastic,цемент,пластик,False,,цемент,the cement,plastic,False,True,True
bowl,plate,чаша,пластина,False,,чаша,the cup,plate,False,True,True
explanation,plausible,пояснення,правдоподібний,False,,пояснення,explanation of the,its plausible,False,False,True
coach,player,тренер,гравець,False,,тренер,coach,player,True,True,False
comfortable,pleasant,комфортно,приємно,False,,комфортно,comfortably,nice to meet you,False,False,True
text,poem,текст,поема,False,,текст,the text,the poem,False,False,True
gambling,poker,азартні ігри,покер,False,,азартні ігри,gambling,the poker,True,False,True
critical,political,критичний,політичні,False,,критичний,critical,political,True,True,False
policy,politician,політика,політик,False,,політика,policy,politician,True,True,False
journalism,politics,журналістика,політика,False,,журналістика,journalism,policy,True,False,True
status,position,статус,позиція,False,,статус,the status,position,False,True,True
chance,possibility,шанс,можливість,False,,шанс,chance,opportunity,True,False,True
helpless,powerless,безпорадний,безсильний,False,,безпорадний,helpless,powerless,True,True,False
literally,practically,буквально,практично,False,,буквально,literally,practically,True,True,False
prey,predator,здобич,хижак,False,,здобич,the spoils,the predator,False,False,True
birth,pregnancy,народження,вагітність,False,,народження,births,pregnancy,False,True,True
ready,prepare,готовий,підготуйте,False,,готовий,ready to go,get ready,False,False,True
chancellor,president,канцлер,президент,False,,канцлер,the chancellor,president,False,True,True
button,press,кнопка,преса,False,,кнопка,the button,the press,False,False,True
pulse,pressure,імпульс,тиск,False,,імпульс,the impulse,pressure,False,True,True
value,price,вартість,ціна,False,,вартість,cost,the price,False,False,True
monk,priest,монах,священик,False,,монах,monk,the priest,True,False,True
secondary,primary,вторинний,первинний,False,,вторинний,secondary,primary,True,True,False
princess,prince,принцеса,принц,False,,принцеса,the princess,the prince,False,False,True
cell,prison,клітина,вязниця,False,,клітина,the cell,prison,False,True,True
hostage,prisoner,заручники,увязнений,False,,заручники,hostages,imprisoned,False,False,True
private,privacy,приватний,конфіденційність,False,,приватний,private,confidentiality,True,False,True
nobel,prize,нобель,премія,False,,нобель,the nobel,the prize,False,False,True
maybe,probably,можливо,ймовірно,False,,можливо,it might,i guess,False,False,True
capsule,probe,капсула,зонд,False,,капсула,the capsule,the probe,False,False,True
trouble,problem,проблема,проблема,True,незручний,незручний,its not comfortable,the problem,False,False,True
process,procedure,процес,процедура,False,,процес,the process,the procedure,False,False,True
create,produce,створити,продукція,False,,створити,to create,products,False,False,True
brand,product,марка,продукт,False,,марка,the mark,product,False,True,True
factory,production,фабрика,виробництво,False,,фабрика,factory,manufacturing,True,False,True
amateur,professional,аматор,професіонал,False,,аматор,amateurish,professional,False,True,True
dean,professor,декан,професор,False,,декан,dean of the college,professor,False,True,True
project,program,проект,програма,False,,проект,project,the programme,True,False,True
forbidden,prohibit,заборонено,заборонити,False,,заборонено,prohibited,banned,False,False,True
guarantee,promise,гарантія,обіцянка,False,,гарантія,the guarantee,the promise,False,False,True
evidence,proof,докази,доказ,False,,докази,the evidence,the proof,False,False,True
lawyer,prosecutor,адвокат,прокурор,False,,адвокат,lawyer,the prosecutor,True,False,True
rule,protocol,правило,протокол,False,,правило,rule,the protocol,True,False,True
model,prototype,модель,прототип,False,,модель,model,the prototype,True,False,True
enable,provide,включити,забезпечити,False,,включити,include,to ensure,False,False,True
medical,psychological,медичний,психологічна,False,,медичний,medical,psychologically,True,False,True
anatomy,psychology,анатомія,психологія,False,,анатомія,the anatomy,psychology,False,True,True
push,pull,натискати,витягувати,False,,натискати,pressing,pull out,False,False,True
insert,put,вставити,покласти,False,,вставити,inserted,put,False,True,True
quantity,quality,кількість,якість,False,,кількість,number,quality,False,True,True
half,quarter,половина,квартал,False,,половина,half,quarterly,True,False,True
slowly,quickly,повільно,швидко,False,,повільно,slowly,hurry up,True,False,True
fox,rabbit,лиса,кролик,False,,лиса,the fox,the rabbit,False,False,True
squirrel,raccoon,білка,енота,False,,білка,white,the enote,False,False,True
marathon,race,марафон,раса,False,,марафон,the marathon,race,False,True,True
contamination,radiation,забруднення,випромінювання,False,,забруднення,pollution,radiation,False,True,True
anger,rage,гнів,гнів,True,іре,іре,and,anger,False,False,True
kidnapper,ransom,викрадач,викуп,False,,викрадач,the thief,the purchase,False,False,True
occasionally,rarely,іноді,рідко,False,,іноді,sometimes,rarely,False,True,True
mouse,rat,миша,щур,False,,миша,the mouse,the rat,False,False,True
generator,reactor,генератор,реактор,False,,генератор,the generator,reactor,False,True,True
TRUE,real,правда,реальний,False,,правда,the truth,the real,False,False,True
optimistic,realistic,оптимістичний,реалістичний,False,,оптимістичний,optimistic,realistic,True,True,False
actually,really,насправді,дійсно,False,,насправді,actually,i really do,True,False,True
front,rear,передній,задній,False,,передній,the front,the back,False,False,True
fair,reasonable,справедливий,розумний,False,,справедливий,fair,clever,True,False,True
just,recently,просто,нещодавно,False,,просто,its easy,recently,False,True,True
record,recording,запис,запис,True,диск,диск,the disk,record,False,False,True
increase,reduce,збільшення,зменшити,False,,збільшення,increase,decrease,True,False,True
fresh,refresh,свіжий,оновлення,False,,свіжий,fresh,renewal,True,False,True
philosophy,religion,філософія,релігія,False,,філософія,the philosophy,religious,False,False,True
stay,remain,залишитись,залишаються,False,,залишитись,to stay,remain,False,True,True
exceptional,remarkable,виняткові,дивовижний,False,,виняткові,exceptional,its wonderful,True,False,True
forget,remember,забути,памятай,False,,забути,to forget,remember this,False,False,True
eliminate,remove,усунути,видалити,False,,усунути,remove,deleted,False,False,True
hire,rent,оренду,оренду,True,залучити,залучити,to involve,the rent,False,False,True
fix,repair,виправити,ремонт,False,,виправити,correct,repairs,False,False,True
answer,reply,відповідь,відповідь,True,достатньо,достатньо,enough is enough,the answer,False,False,True
career,reputation,карєра,репутація,False,,карєра,career,reputation,True,True,False
demand,request,попит,запит,False,,попит,the demand,the request,False,False,True
resistance,resist,опору,протистояти,False,,опору,resistance,to resist,True,False,True
pub,restaurant,паб,ресторан,False,,паб,the pub,the restaurant,False,False,True
back,return,назад,повернення,False,,назад,back,returned,True,False,True
