item,word_english,definition_phrase,aoa_M,RT_M,RT_SD,item_Z,,,,,,,
231,due,when something should be submitted,4.178571429,3191.602143,1735.380773,-0.459180685,,,,,,,
275,dull,not sharp; blunt,5.214285714,3763.003214,2582.359782,0.420500031,,,,,,,
275,dull,causing boredom; uninteresting,4.5,4654.032857,2613.411577,-0.098556246,,,,,,,
275,dull,mentally slow,4.275862069,4230.966897,3313.07872,-0.252605054,,,,,,,
275,dull,little depth of color,4.714285714,3638.035,2204.300301,-0.045655513,,,,,,,
276,dumb,unintelligent; stupid,5.555555556,3952.819259,3333.522617,0.593408387,,,,,,,
276,dumb,lacking ability of speech,4.892857143,3755.418929,2631.751692,0.155721031,,,,,,,
277,dump,waste,3.655172414,3608.496552,2834.596581,-0.67689074,,,,,,,
277,dump,to get rid of,4.310344828,3612.41,1759.328154,-0.15946257,,,,,,,
235,dye,to change color,4.137931034,4258.908966,3639.316527,-0.328383182,,,,,,,
235,dye,ink,4.5,3394.221429,2969.574389,-0.0493172,,,,,,,
278,dynamite,explosive,4,2850.811724,1724.32172,-0.369340166,,,,,,,
278,dynamite,great,5.344827586,3433.075862,2830.792681,0.430135272,,,,,,,
279,ear,for hearing,2.678571429,2806.071071,1874.595057,-1.422478686,,,,,,,
279,ear,piece of corn,4.464285714,4035.699286,7313.288697,-0.185529603,,,,,,,
280,earn,to receive for work,4.821428571,5111.292857,3196.155494,0.021661267,,,,,,,
281,easy,simple,2.827586207,3123.655862,2354.808068,-1.20515948,,,,,,,
281,easy,promiscuous,6.392857143,5097.768214,9259.075339,1.241710531,,,,,,,
845,eat,forced withdrawl of an army,6.448275862,2801.962414,1842.561694,1.183408634,,,,,,,
282,ecstasy,pleasure,6.482758621,3254.082069,5574.031873,1.349362873,,,,,,,
282,ecstasy,a drug,4.034482759,3267.227586,3013.86762,-0.460824335,,,,,,,
1209,edge,border,3.107142857,3850.558929,3287.882305,-1.113947133,,,,,,,
283,egg,bird hatch from,5.222222222,3561.176667,1813.796455,0.331583333,,,,,,,
283,egg,to encourage - egg him on,2.206896552,3173.098276,1971.758333,-1.806462305,,,,,,,
40,eight,number,5.862068966,4709.544828,10432.00858,0.848725224,,,,,,,
284,elaborate,to explain more,5.517241379,2884.363793,1531.765604,0.567345129,,,,,,,
284,elaborate,fancy,4.482758621,3546.57069,2241.099308,-0.101834386,,,,,,,
285,electricity,electric charges and currents,5.586206897,3643.526207,1578.539698,0.625080014,,,,,,,
285,electricity,excitement or anticipation,5.75862069,4232.696897,2223.348147,0.732457664,,,,,,,
285,electricity,spark between two individuals,6,3340.81037,1917.18596,0.822890997,,,,,,,
286,element,chemical material,5.75,5722.194643,6229.984401,0.849419546,,,,,,,
286,element,component - the heating element,3.392857143,3471.612857,2157.602046,-0.799459071,,,,,,,
287,elevator,used to go from one floor to another,5.448275862,3523.581724,2192.443329,0.60235016,,,,,,,
287,elevator,stores grain,3.620689655,3107.18931,1483.656554,-0.662059464,,,,,,,
288,end,conclusion,4,4336.606071,2386.492613,-0.613826236,,,,,,,
288,end,the back of something,5.740740741,4159.244444,6500.415127,0.707617515,,,,,,,
289,engage,to entertain,5.448275862,4677.009655,2629.102383,0.562151202,,,,,,,
289,engage,to use - to engage the brakes,5.655172414,3448.021034,2016.222494,0.685179822,,,,,,,
290,engagement,event,4.827586207,2968.324138,1441.656015,0.211285957,,,,,,,
290,engagement,promise of marriage,3.655172414,3475.705172,2575.74457,-0.62462044,,,,,,,
291,entry,to enter,3.535714286,5268.476207,7136.527244,-0.869501896,,,,,,,
291,entry,a door or place to enter,4.892857143,3771.307143,3110.54957,0.12591856,,,,,,,
291,entry,to be in a competition,4.620689655,3978.731724,2620.061257,0.01284238,,,,,,,
291,entry,a daily writing - journal entry,5.464285714,3857.633214,1919.359423,0.521376793,,,,,,,
291,entry,to enter information - data entry,3.689655172,2755.132759,1359.038359,-0.694486913,,,,,,,
292,envelope,for a letter,5.551724138,2914.904483,1660.273874,0.622317628,,,,,,,
292,envelope,to surround,5.551724138,2966.33931,1446.968238,0.558976233,,,,,,,
293,erect,upright,5.75862069,2700.93069,1720.257604,0.635183576,,,,,,,
293,erect,to build,6,2872.036071,1280.004797,0.88852428,,,,,,,
294,essence,at the core,6.206896552,3527.708966,1843.954381,1.171822122,,,,,,,
294,essence,concentrated perfume,3.857142857,3263.230714,2780.034344,-0.575207771,,,,,,,
295,even,not odd,3.785714286,3028.321429,2384.584406,-0.594620894,,,,,,,
295,even,equal,4.357142857,3218.1225,1880.358831,-0.322244708,,,,,,,
295,even,level,4.620689655,6043.203448,6414.75021,-0.092639648,,,,,,,
295,even,in spite of - even if...,5.275862069,2588.782759,1129.645113,0.560550852,,,,,,,
296,ewe,female lamb,4.571428571,3568.289643,2380.990566,-0.087513969,,,,,,,
297,exact,precise,5.896551724,4045.327586,2611.758672,0.909437716,,,,,,,
297,exact,to demand payment,4.642857143,6349.791071,8345.389632,-0.04673041,,,,,,,
298,excuse,to grant absence,3.793103448,4934.532069,2670.714724,-0.594187638,,,,,,,
298,excuse,a reason - what was his excuse,5.344827586,3568.021034,2286.642108,0.398945419,,,,,,,
299,execute,to kill,5.551724138,2945.128621,1299.635776,0.668043014,,,,,,,
299,execute,to carry out,4.321428571,4163.871071,3881.921794,-0.208460358,,,,,,,
300,exercise,to workout - as in sports,3.892857143,3857.397143,5207.11044,-0.577990228,,,,,,,
300,exercise,practice activity,5.206896552,3014.646897,1626.40365,0.336532485,,,,,,,
301,exhaust,gas or vapor from an engine,5.206896552,3895.684138,2405.696561,0.393545236,,,,,,,
301,exhaust,to use up everything,4.678571429,6045.001786,10287.5247,-0.012568997,,,,,,,
302,experience,participation in events,4.75862069,4940.63069,4020.515478,0.182919981,,,,,,,
302,experience,knowledge from practice,4.827586207,3435.598966,1779.066405,0.097388588,,,,,,,
303,express,to share an opinion,4.793103448,4796.910345,4287.156956,0.178908694,,,,,,,
303,express,very quickly,5.931034483,4416.802414,2571.188472,0.904245827,,,,,,,
303,express,to press out a liquid,6.035714286,4280.831071,2308.980381,0.985826423,,,,,,,
303,express,genetic effect,5.034482759,3135.912759,1449.851612,0.239677343,,,,,,,
304,extension,more time to complete an assignment,5.576923077,4011.077692,1915.039293,0.635791645,,,,,,,
304,extension,to add length,2.785714286,2583.944643,1442.870297,-1.402732891,,,,,,,
305,eye,for vision,4.75,3518.675357,1845.597204,0.017304,,,,,,,
305,eye,in a needle,2.310344828,4299.804483,3426.832806,-1.616884537,,,,,,,
306,face,on the head,3.75862069,3081.897931,1672.652956,-0.633360134,,,,,,,
306,face,to look at someone,6.034482759,4205.221034,1843.815877,0.888606096,,,,,,,
307,factor,an entity that influences result,5.517241379,4428.781724,4712.538844,0.697320925,,,,,,,
307,factor,mathematical entity,4.214285714,3138.735357,1839.822008,-0.357766337,,,,,,,
308,facts,truths,4.862068966,4801.496552,5810.411188,0.211978768,,,,,,,
309,faculty,teachers,6.068965517,5828.834483,4354.363427,1.094225491,,,,,,,
309,faculty,an ability - he has all his faculties,4.357142857,4360.143571,9440.891631,-0.201892415,,,,,,,
310,faint,to pass out,5.172413793,4296.05069,2039.152044,0.357135159,,,,,,,
310,faint,low or small - a faint sound,4.551724138,3805.747241,2994.422098,-0.141395139,,,,,,,
311,fair,fine,4.321428571,3308.522143,1893.004356,-0.257232161,,,,,,,
311,fair,unbiased,3.814814815,4543.461786,5349.200199,-0.632436343,,,,,,,
311,fair,carnival,4.551724138,4155.944138,5536.125675,0.029726584,,,,,,,
311,fair,light skin or hair,4.586206897,4060.724483,1930.764841,0.03558425,,,,,,,
311,fair,adequate amount..fair amount of snow,3.413793103,3401.656897,1664.139896,-0.88737315,,,,,,,
312,fairy,a magical sprite,3.344827586,3315.010345,3010.027373,-0.899450458,,,,,,,
313,fall,autumn,2.892857143,3626.353571,1983.833865,-1.336381902,,,,,,,
313,fall,stumble down,3.482758621,4780.886207,2573.783713,-0.894369063,,,,,,,
313,fall,to come down - the rain will fall,3.103448276,3587.246897,2344.53418,-1.043356448,,,,,,,
314,fan,blows air,4.25,2825.578214,1101.872108,-0.18840053,,,,,,,
314,fan,an admirer,4.384615385,2861.870385,1551.114481,-0.200963041,,,,,,,
315,fancy,elaborate,5.551724138,4128.022069,4582.454609,0.57420158,,,,,,,
315,fancy,liking,2.740740741,3142.30963,3109.819204,-1.374520922,,,,,,,
316,fast,quick,5.074074074,3621.5,1625.801978,0.167129305,,,,,,,
316,fast,to go without food,3.333333333,2645.704444,1246.651682,-0.84749132,,,,,,,
317,fat,heavy,5,3722.052069,2252.335651,0.205920686,,,,,,,
317,fat,high calorie substance,4.5,4468.633793,4398.421945,-0.038801172,,,,,,,
318,favor,a preference over another,4.068965517,3548.068966,1786.363727,-0.432728334,,,,,,,
318,favor,to do something nice for another,4.206896552,2870.042069,1536.472539,-0.295704645,,,,,,,
319,fawn,baby deer,6.321428571,2663.033214,1077.058521,1.153402675,,,,,,,
319,fawn,to give a lot of attention,5.178571429,2903.177241,1866.752967,0.241032068,,,,,,,
308,fax,send a copy remotely,4.357142857,2914.884643,1408.354171,-0.368715588,,,,,,,
320,feast,to eat a lot,4.25,4825.8325,3667.821826,-0.326087159,,,,,,,
320,feast,a large meal shared with others,2.407407407,2671.675556,1539.411138,-1.531684935,,,,,,,
322,feat,an accomplishment,3.620689655,4369.824483,4914.276002,-0.705941253,,,,,,,
321,feel,touch,4.275862069,4293.331034,2274.232229,-0.332420793,,,,,,,
321,feel,texture of surface,5.384615385,2771.225,1930.727857,0.54372031,,,,,,,
321,feel,perception of well-being,2.230769231,3144.868077,2204.232879,-1.801254222,,,,,,,
322,feet,end of leg,4.035714286,2836.042143,1127.784766,-0.442759008,,,,,,,
322,feet,a unit of measurement,4.75862069,3650.423103,3294.925999,0.07299179,,,,,,,
323,felt,a furry fabric,3.379310345,2942.966552,2280.907649,-0.884913313,,,,,,,
323,felt,feel,3.333333333,2631.099643,1930.533676,-1.068959069,,,,,,,
324,fence,gate,5.285714286,2613.308929,1063.595404,0.417783425,,,,,,,
324,fence,sword-fighting,6.428571429,3267.124643,2251.525376,1.225232021,,,,,,,
324,fence,to sell tickets illegally,4.517241379,2808.29069,2637.808618,-0.056398933,,,,,,,
312,ferry,a boat,3.321428571,2687.253929,1739.122266,-0.971048811,,,,,,,
325,fever,high temperature,5.615384615,3166.097778,1554.034854,0.670922189,,,,,,,
325,fever,a frenzy,3.928571429,3445.233929,2102.621877,-0.662696983,,,,,,,
326,field,a prairie,3.592592593,3869.465556,1824.125886,-0.786199549,,,,,,,
327,field,place for sports - football field,6.035714286,4027.558929,2986.899968,0.917890013,,,,,,,
327,field,an area of magneticism or electricity,4.714285714,3879.091071,5605.376179,-0.032490585,,,,,,,
328,figure,a number,4.642857143,4640.458929,5715.498054,0.060472893,,,,,,,
328,figure,body shape,4.413793103,3502.829655,3179.631141,-0.288902653,,,,,,,
328,figure,a shape,4.448275862,3787.932759,2224.921889,-0.035733458,,,,,,,
329,file,a folder of papers,4.310344828,3922.367586,2562.619917,-0.149066208,,,,,,,
329,file,used on fingernails,3.555555556,2340.276296,1322.651069,-0.637122907,,,,,,,
330,film,movie,5.103448276,3311.718276,1364.9856,0.269694592,,,,,,,
330,film,a thin material,3.482758621,3845.904828,3368.303599,-0.903339264,,,,,,,
331,find,to seek,5.137931034,4222.162759,7034.00168,0.345494087,,,,,,,
331,find,a great buy,5.111111111,3551.890741,1972.861698,0.185274151,,,,,,,
332,fine,a fee or penalty,3.964285714,2849.842857,1382.41963,-0.578341855,,,,,,,
332,fine,alright,5.206896552,3617.817586,2737.599138,0.432687331,,,,,,,
332,fine,attractive,2.551724138,3311.645517,3027.60717,-1.482223047,,,,,,,
333,finger,part of hand,5.275862069,3443.861724,1852.204324,0.506859909,,,,,,,
333,finger,to accuse someone,3.035714286,3985.196786,5442.776693,-1.269003398,,,,,,,
334,finish,the end,5.892857143,2925.067143,1499.766933,0.835639866,,,,,,,
334,Finnish,from Finland,2.821428571,3235.428929,2037.994978,-1.1906441,,,,,,,
335,fire,flames,4.740740741,4267.285714,3682.603286,0.031060539,,,,,,,
335,fire,to end another's employment,3.928571429,2766.608571,1265.289981,-0.518989388,,,,,,,
336,firm,solid,5.821428571,3471.993214,2439.600096,0.808602556,,,,,,,
336,firm,company,3.214285714,3419.326429,2449.860619,-1.013485517,,,,,,,
337,fishing,trying to catch fish,4.448275862,3396.039655,1678.963125,-0.133837528,,,,,,,
337,fishing,trying to get something,5.321428571,5339.483214,6210.681004,0.371418561,,,,,,,
338,fit,in acceptable condition,4.75862069,3231.265517,1688.180688,0.124799384,,,,,,,
338,fit,healthy,3.448275862,3342.35,2890.238633,-0.730105562,,,,,,,
339,fix,to repair,4.928571429,3790.263448,2116.332513,0.25128484,,,,,,,
339,fix,a bad situation,3.607142857,3306.680714,2031.779606,-0.725705861,,,,,,,
340,flag,a banner,5.413793103,3629.833448,2589.568053,0.518155971,,,,,,,
340,flag,to signal to someone,4.482758621,3276.092759,1684.251904,-0.040485491,,,,,,,
341,flake,a small bit,6.137931034,2516.287931,1234.564705,1.147642419,,,,,,,
341,flake,a dumb person,3.275862069,3113.075172,2437.454934,-0.885237111,,,,,,,
342,flame,fire,6.428571429,3168.973929,1528.290098,1.244884085,,,,,,,
342,flame,a romantic partner,4.142857143,3412.869286,1661.563925,-0.330162599,,,,,,,
343,flea,a blood-sucking mite,4.678571429,3394.066552,2928.53153,0.09692735,,,,,,,
343,flee,escape,4.037037037,3251.115556,1454.018444,-0.519195584,,,,,,,
344,flew,to have flown,5.142857143,4015.4125,3797.713877,0.319242963,,,,,,,
345,flexible,chageable,4.655172414,2911.589655,1598.079451,-0.021699198,,,,,,,
345,flexible,limber,4.689655172,3001.307586,2006.767166,-0.069914563,,,,,,,
346,flick,to toss lightly,5.551724138,2214.667931,979.4796346,0.654112066,,,,,,,
346,flick,a movie,4.517241379,3353.83069,2181.162451,-0.228056145,,,,,,,
347,fling,to toss,6.206896552,3297.786552,1902.749176,1.192787929,,,,,,,
347,fling,a brief romance,4.103448276,2894.74931,1865.311071,-0.302678907,,,,,,,
348,flip,a gymnast move,3.357142857,2896.876429,1496.287587,-0.860291826,,,,,,,
348,flip,to turn over,5.357142857,3497.481071,1304.511592,0.454874452,,,,,,,
348,flip,get upset...my dad will flip,3.607142857,4061.771071,7922.996978,-0.668564543,,,,,,,
349,flour,for bread,2.827586207,3083.642414,2386.14715,-1.23206148,,,,,,,
349,flower,on a plant,3.961538462,2612.430769,1712.941926,-0.448482949,,,,,,,
344,flu,virus,2.724137931,2834.356552,1415.469431,-1.407643481,,,,,,,
350,flush,toilet,5.206896552,4559.801034,2994.15026,0.455185849,,,,,,,
350,flush,face appears red from blood,2.642857143,2466.254828,1893.692436,-1.467292673,,,,,,,
351,fly,insect,2.75862069,4037.67931,4957.657443,-1.301131037,,,,,,,
351,fly,in the air,4.827586207,2941.212069,1585.847495,0.037926758,,,,,,,
351,fly,in baseball,2.464285714,2708.696786,1624.596148,-1.663669851,,,,,,,
352,foot,toe,3.37037037,3202.824815,1961.0693,-0.868450159,,,,,,,
352,foot,a unit of measurement,4,3397.7425,1654.905874,-0.417256835,,,,,,,
353,for,not against,3.103448276,4249.881724,3891.480102,-1.111173849,,,,,,,
353,for,to give,4.185185185,4849.513333,5990.491665,-0.341363316,,,,,,,
354,force,to makes someone do something,4.517241379,3911.806897,4429.075425,-0.059588933,,,,,,,
354,force,a power,5,2691.708621,1735.218946,0.24737921,,,,,,,
355,foregin,from a different country,5.379310345,3516.085862,2252.290692,0.398363179,,,,,,,
355,foreign,not typical - a foreign agent,2.714285714,2930.252143,2015.7371,-1.37988328,,,,,,,
356,fork,eating utensil,4.551724138,3725.537241,2335.806187,0.010237114,,,,,,,
356,fork,a split in a road,4.285714286,4753.445714,3449.528515,-0.235492756,,,,,,,
357,form,an object or shape,5.413793103,2822.933448,1279.27395,0.561594243,,,,,,,
357,form,application,4.857142857,3425.793571,2227.372885,0.043656298,,,,,,,
358,foul,unpleasant,5.310344828,2572.398276,1444.591918,0.351729935,,,,,,,
358,foul,a ball out of bounds,4.178571429,4179.072143,3501.304438,-0.375419189,,,,,,,
359,foundation,a base,5,2808.05069,1301.906799,0.167802852,,,,,,,
359,foundation,an organization for a cause,5.321428571,8103.2625,16904.38988,0.528331721,,,,,,,
353,four,number,2.137931034,4641.034828,3525.724833,-1.77575368,,,,,,,
358,fowl,a bird,3.793103448,3556.791034,4780.595887,-0.531794738,,,,,,,
360,frame,around a picture,5.62962963,4032.25963,3990.471171,0.629988892,,,,,,,
360,frame,to blame another for a crime,4.689655172,3186.99,3262.64063,0.158031805,,,,,,,
361,freak,to panic,4.413793103,2606.663793,1317.291958,-0.050482947,,,,,,,
361,freak,an odd person,3.571428571,3573.183929,2690.661061,-0.871735435,,,,,,,
362,free,no cost,4.24137931,3430.612069,1877.244381,-0.265038308,,,,,,,
362,free,no restrictions,3.785714286,4165.877143,2649.319626,-0.627663338,,,,,,,
363,freeze,to lower the temperature,3.448275862,3170.602069,1987.748654,-0.773124871,,,,,,,
363,freeze,to stay still,5.607142857,6943.4175,18075.66721,0.633556525,,,,,,,
364,frequency,radio,5.275862069,3345.740345,2195.040395,0.557831261,,,,,,,
364,frequency,how often,4.607142857,3769.802857,2919.797158,-0.064656879,,,,,,,
365,frequent,occurs often,5.185185185,3308.717857,1908.130547,0.317648196,,,,,,,
365,frequent,to go someplace a lot,4.392857143,4674.705517,4043.846651,-0.182954524,,,,,,,
366,fried,cooked in oil,6.535714286,2618.614286,1447.404876,1.410816803,,,,,,,
366,fried,high on drugs,4.888888889,3161.288148,1944.122732,0.196207848,,,,,,,
367,frigid,really cold,5.620689655,3192.831034,2157.750949,0.811971858,,,,,,,
367,frigid,not nice,3,2839.727241,1314.221964,-1.219625405,,,,,,,
368,front,not the back,6,3658.380714,1441.751769,0.967673146,,,,,,,
368,front,a misleading appearance - she put up a front,3.482758621,3858.091034,3648.899257,-0.798505094,,,,,,,
369,frosted,covered with icing,6.142857143,3031.218929,1355.782967,1.006366848,,,,,,,
369,frosted,highlighted hair,4.724137931,3379.397241,2619.363386,0.019770553,,,,,,,
370,fry,to cook in oil,4.75,4247.881786,6473.88553,-0.005628707,,,,,,,
370,fry,to burn in the sun,3.571428571,3270.389286,1844.907062,-0.832652135,,,,,,,
371,fudge,chocolate candy,5.392857143,2793.9125,1104.524377,0.54274998,,,,,,,
371,fudge,to lie a little,4.928571429,3810.037241,4271.208907,0.22326347,,,,,,,
372,function,a purpose,5.206896552,3710.022069,3237.105991,0.363178327,,,,,,,
372,function,a get-together,5.892857143,3430.040714,1595.387956,0.986549794,,,,,,,
372,function,mathematical formula,3.222222222,2838.816667,3443.24823,-0.926382621,,,,,,,
373,funny,humorous,3.931034483,3487.758621,2714.742478,-0.498678756,,,,,,,
373,funny,strange,5.724137931,3130.824138,1694.886308,0.724226482,,,,,,,
374,fuse,electric,5.107142857,3085.9225,1808.865747,0.362171568,,,,,,,
374,fuse,to join things together,3.724137931,3461.773793,2101.592893,-0.63971974,,,,,,,
375,fuzz,fur,6.25,2561.051429,2092.045827,1.235969782,,,,,,,
375,fuzz,the police,4.689655172,3314.270345,2532.235616,0.040788086,,,,,,,
376,gag,to choke,4.896551724,3335.011379,2881.560702,0.160667093,,,,,,,
376,gag,practical joke,2.321428571,2942.475714,1680.981074,-1.612509873,,,,,,,
379,gait,a way of walking,2.793103448,4464.884138,5348.086072,-1.305487868,,,,,,,
377,game,something fun for childen,5.482758621,4565.416897,2729.81893,0.546656869,,,,,,,
377,game,sporting competition,3.965517241,2522.001034,2086.247886,-0.515792914,,,,,,,
377,game,to be willing to do something - I'm game,4.862068966,3912.421379,4593.570264,0.136256803,,,,,,,
378,gas,fuel,3.862068966,3142.862414,1569.811247,-0.459906441,,,,,,,
378,gas,any type of vapor,5.785714286,2530.241034,1016.101642,0.808865157,,,,,,,
378,gas,bodily gas,3.24137931,2803.192069,1269.305909,-0.893998698,,,,,,,
379,gate,fence,3.75,3960.148571,2204.941814,-0.599240373,,,,,,,
380,gather,to collect,5.321428571,6216.2675,7929.495457,0.55884682,,,,,,,
380,gather,to draw a conclusion,5.178571429,3002,1622.983777,0.486804045,,,,,,,
381,gauge,a meter,5.827586207,5093.071379,6246.53304,0.794835851,,,,,,,
381,gauge,to assess - gauge the situation,5.678571429,4058.9675,3308.990375,0.605882892,,,,,,,
382,gear,a toothed wheel,5.642857143,3921.090714,3908.17241,0.742496607,,,,,,,
382,gear,in a car - 4th gear,4.620689655,3000.192069,1862.603769,-0.013061547,,,,,,,
382,gear,equipment,4.172413793,2480.268621,1724.997171,-0.452010541,,,,,,,
383,gem,jewel,5.931034483,4663.045517,5113.803975,0.886092218,,,,,,,
383,gem,a find - a great deal,5.862068966,2643.5,1488.769666,0.781688371,,,,,,,
383,gem,a great person,5.75862069,3554.81,4098.18059,0.817027975,,,,,,,
384,gene,genetic trait,6.137931034,2879.686552,1373.120495,1.077828404,,,,,,,
384,gene,a piece of DNA,5.25,2879.7975,1389.290013,0.432952195,,,,,,,
385,general,military rank,4.714285714,3693.993929,3247.209056,0.074199005,,,,,,,
385,general,ordinary,4.857142857,3336.768214,3649.280647,0.256075736,,,,,,,
386,genuine,real,5.24137931,2785.69931,1843.935664,0.324442927,,,,,,,
386,genuine,sincere,4.310344828,3558.68069,2721.457101,-0.240194366,,,,,,,
387,germ,bacteria,6.206896552,3542.315172,2132.754902,1.006454399,,,,,,,
387,germ,part of grain - wheat germ,5.896551724,2611.530345,1167.811609,0.911513967,,,,,,,
388,gin,card game,6.24137931,2273.335862,1403.766323,1.186323687,,,,,,,
388,gin,alcohol,3.285714286,3826.0825,2006.643353,-1.020754015,,,,,,,
389,give,opposite of take,5.75,7608.685357,3138.456374,0.712790576,,,,,,,
389,give,to loosen - a got the door to give,4.678571429,4483.933571,4048.24066,0.033355509,,,,,,,
390,glare,light shining,4.814814815,3068.8975,1277.011779,0.150455652,,,,,,,
390,glare,a hateful stare,3.275862069,5023.396897,4060.874998,-0.942427865,,,,,,,
391,glass,transparent solid,2.851851852,2940.457037,986.449198,-1.371897887,,,,,,,
391,glass,for drinking,3.285714286,3842.420357,2132.76829,-0.994726857,,,,,,,
392,glasses,drinking cups,3.37037037,3178.142593,2442.604411,-0.886426605,,,,,,,
392,glasses,spectacles,4.071428571,3170.204643,3699.858814,-0.401756062,,,,,,,
393,goal,something to achieve,3.75,4261.960357,3498.084956,-0.653852714,,,,,,,
393,goal,in a game - soccer goal,2.965517241,2344.203448,1073.035959,-1.114311512,,,,,,,
394,goose,a bird,6.275862069,3718.798276,3015.285682,1.054119373,,,,,,,
394,goose,to pinch someone,3.928571429,2796.069286,1350.600441,-0.565502721,,,,,,,
395,grade,a score,4.206896552,3355.308966,1484.502752,-0.306598836,,,,,,,
395,grade,a level of quality,4.413793103,3026.567931,1578.08019,-0.301167329,,,,,,,
396,grain,"wheat, rice, corn",5.571428571,4654.498929,2005.480161,0.655853877,,,,,,,
396,grain,layers of material - wood grain,6.285714286,2891.358929,1951.714373,1.170293553,,,,,,,
397,grant,scholarship,4.769230769,3667.014615,3987.215407,0.083684488,,,,,,,
397,grant,give permission,2.642857143,3055.361071,1749.210801,-1.47472872,,,,,,,
398,grass,in a lawn,6.62962963,2262.974444,1281.436275,1.377613927,,,,,,,
398,grass,marijuana,4.964285714,3128.831379,2551.848536,0.20681326,,,,,,,
399,grate,to cut cheese,5.551724138,4607.26,4289.168142,0.629546485,,,,,,,
399,grate,iron slats - storm grate,5.896551724,2844.461379,1473.397847,0.930429427,,,,,,,
399,grate,to be irritating,3.586206897,3068.486552,1495.958579,-0.743048165,,,,,,,
400,grave,in a cemetery,5.24137931,2976.616207,988.020682,0.435638445,,,,,,,
400,grave,very serious,4.846153846,3924.755926,3948.187908,0.074449138,,,,,,,
399,great,extensive,3.482758621,2966.731724,2256.594991,-0.719964204,,,,,,,
399,great,terrific,4.689655172,3004.328621,1119.438821,0.143014506,,,,,,,
401,greek,someone in a fraternity or sorority,6.607142857,3649.2225,2103.659471,1.39465991,,,,,,,
401,greek,from Greece,2.034482759,2711.622069,1654.581317,-1.876878701,,,,,,,
402,green,a color,3.793103448,5715.497931,14759.50285,-0.67654926,,,,,,,
402,green,vegetable,6.037037037,3880.675357,2904.466834,0.864277082,,,,,,,
402,green,to be naive,6.037037037,2717.013929,1251.977504,1.017098675,,,,,,,
402,green,to be ecologically aware,4.034482759,3042.50931,1987.902029,-0.484649339,,,,,,,
403,grill,charcoal or gas,6.034482759,4211.795172,3994.51823,0.951329567,,,,,,,
403,grill,to question harshly,4.344827586,3582.156207,1985.011431,-0.125260522,,,,,,,
404,grind,to mash into pieces,6.071428571,3293.525357,2074.854907,1.053938567,,,,,,,
404,grind,the daily routine,5.25,2911.198571,2157.635394,0.367336032,,,,,,,
405,grit,dirt,5.518518519,3120.401071,1411.364422,0.672498005,,,,,,,
405,grit,determination,3.862068966,3883.798276,1622.547365,-0.473906393,,,,,,,
406,groom,bride and,5.821428571,4598.5875,2983.821042,0.796676679,,,,,,,
406,groom,to prepare for the future,5,3111.194138,1457.510614,0.359168679,,,,,,,
406,groom,taking care of appearance,3.357142857,3037.429643,1674.299126,-0.872199636,,,,,,,
407,gross,nasty,6.103448276,3404.246897,2219.071018,1.095585265,,,,,,,
407,gross,twelve dozen,3.666666667,4071.472593,2704.509228,-0.837071613,,,,,,,
408,ground,earth,5.035714286,4602.917857,1445.244907,0.226204787,,,,,,,
408,ground,past tense of grind,5.275862069,3286.103448,1915.852148,0.452080196,,,,,,,
409,grounds,premises,5.655172414,3445.959655,1838.090377,0.724140144,,,,,,,
409,grounds,the basis - on what grounds,4.392857143,2772.424286,1346.7552,-0.206755184,,,,,,,
410,group,an organization,4.071428571,3744.494643,2358.799862,-0.529776439,,,,,,,
410,group,to place things together,3.321428571,4248.038571,4721.310911,-0.908430532,,,,,,,
411,growth,to become larger,5.206896552,3905.893793,2176.03175,0.403808257,,,,,,,
411,growth,a wart or tumor,4.448275862,3097.160345,2339.733707,-0.10592198,,,,,,,
412,guard,a security person,4.103448276,3174.376207,1868.490334,-0.368469815,,,,,,,
412,guard,to be protective,4,4135.2225,2603.821073,-0.580623846,,,,,,,
413,guessed,answered without knowing,3.230769231,2936.123846,1754.753204,-0.969253145,,,,,,,
413,guest,a visitor,3,3295.653333,3538.48744,-1.211634425,,,,,,,
414,gum,chewing,3.857142857,3750.862857,2192.135478,-0.589791398,,,,,,,
414,gum,next to teeth,4.107142857,5888.081071,11365.24893,-0.321797704,,,,,,,
415,habit,tendency,6.142857143,2968.507143,957.1991281,0.970440756,,,,,,,
415,habit,what a nun wears,3.689655172,3499.454138,1693.781962,-0.656930537,,,,,,,
416,hail,ice pieces from the sky,5.413793103,2895.608276,1027.930495,0.561416232,,,,,,,
416,hail,to get attention - hail a cab,5.821428571,3982.4725,1738.942873,0.732306843,,,,,,,
416,hail,to come from a place - we hail from Omaha,2.448275862,3202.935517,2112.864727,-1.537819746,,,,,,,
417,hair,on head,3.275862069,2403.228621,1075.676944,-0.940266405,,,,,,,
418,hairy,lots of hair,5.310344828,3717.644828,5321.25581,0.530659215,,,,,,,
418,hairy,a bad situation,3.482758621,4435.39069,3628.899435,-0.732379177,,,,,,,
419,hall,a passageway,4.620689655,3502.718621,1519.508895,0.090999179,,,,,,,
419,hall,a large room - reception hall,3.931034483,3091.046207,1238.921704,-0.467716158,,,,,,,
420,halve,to cut in half,2.392857143,3062.884286,1483.525007,-1.712759291,,,,,,,
421,hand,end of arm,3.307692308,5072.101852,4625.200271,-0.954508348,,,,,,,
421,hand,to clap,4.137931034,2865.911379,1043.013084,-0.413242436,,,,,,,
