word_english,sample_size,set_size,set_size_singles,frequency_KF,concrete_M,homograph,pos,Mean_Connectivity,Connectivity_Strength,Resonance_Probability,Resonance_Strength,Accessibility_Index,Non-Responses,Ending_Stem_Set_Size__,Ending_Stem_Strength,Beginning_Stem_Set_Size,Beginning_Stem_Strength,Ending_Fragment_Cue,Ending_Fragment_Set_size,Ending_Fragment_Strength,Beginning_Fragment_Cue,Beginning_Cue_Set_Size,Beginning_Cue_Strength
editor,151,11,35,77,,,N,2.44,3.780,0.33,1.060,4,0.02,,,,,,,,,,
editorial,154,15,32,42,,,N,2.50,3.810,0.07,1.010,1,0.01,,,,,,,,,,
educate,151,7,24,7,,,V,3.14,3.230,0.14,1.040,2,0.00,,,,,,,,,,
education,146,13,44,214,2.98,,N,3.75,4.880,0.58,1.280,15,0.00,,,,,,,,,,
effect,149,13,37,213,2.22,,N,1.50,1.700,0.33,1.630,5,0.09,,,,,,,,,,
effort,143,18,44,145,2.22,,N,1.47,1.970,0.12,1.070,10,0.07,,,,,,,,,,
egg,165,20,44,12,5.79,G,N,1.00,2.030,0.24,2.110,26,0.01,7,0.03,,,,,,E--,10,0.02
eggs,148,21,32,35,5.79,,N,1.71,4.010,0.29,3.330,24,0.02,7,0.03,,,--GS,20,0.34,E---,15,0.02
ego,152,27,51,13,1.93,,N,,,,,13,0.07,,,,,,,,,,
egypt,132,16,29,14,,,N,,,,,6,0.01,,,,,,,,,,
eight,145,8,29,104,3.74,,N,,,,,8,0.01,25,0.00,,,,,,,,
einstein,154,14,32,3,,,N,,,,,4,0.01,,,,,,,,,,
elaborate,152,25,65,32,,G,AJ,,,,,3,0.03,,,,,,,,,,
elbow,145,10,22,10,6.94,,N,1.89,1.680,0.33,1.150,6,0.02,,,,,,,,,,
elderly,148,9,27,13,,,AJ,,,,,4,0.01,,,,,,,,,,
elders,142,12,32,9,5.65,,N,,,,,3,0.01,,,,,,,,,,
elect,178,15,35,8,2.62,,V,1.83,3.370,0.17,1.200,4,0.05,,,,,,,,,,
election,140,12,34,77,4.05,,N,1.92,2.330,0.33,1.480,5,0.01,21,0.10,,,---CTION,7,0.02,E-ECT--N,4,0.81
electric,146,23,49,68,,G,AJ,1.95,4.580,0.27,1.420,16,0.01,21,0.00,,,,,,,,
electrician,152,22,56,0,,,N,2.16,4.010,0.05,1.090,1,0.05,,,,,,,,,,
electricity,147,15,34,26,4.51,,N,1.54,1.950,0.54,1.660,18,0.04,,,,,,,,,,
electron,147,15,30,30,,,N,2.69,5.580,0.31,1.390,5,0.02,,,,,,,,E-ECT--N,4,0.01
elegant,143,22,59,14,3.02,,AJ,,,,,9,0.06,,,,,,,,,,
element,147,22,47,52,,G,N,1.95,3.010,0.43,1.150,13,0.03,14,0.00,,,,,,,,
elements,147,17,58,107,,,N,,,,,2,0.01,,,,,,,,,,
elephant,146,19,38,7,7.00,,N,1.05,2.850,0.37,1.940,19,0.03,,,,,,,,,,
elevator,148,14,27,12,6.23,,N,0.79,3.030,0.36,1.430,8,0.00,,,,,,,,,,
elf,152,22,36,0,,,N,,,,,4,0.01,,,,,,,,E--,10,0.02
elimination,152,24,65,9,,,N,,,,,1,0.03,,,,,,,,,,
elk,156,9,22,1,5.75,,N,2.00,3.350,0.11,1.040,2,0.05,,,,,,,,E--,10,0.02
elm,144,4,13,3,5.07,,N,1.25,1.950,0.25,1.010,1,0.01,,,,,,,,,,
embarrass,132,10,36,8,,,V,1.10,2.750,0.30,1.990,11,0.02,,,,,,,,,,
embrace,146,4,21,13,,,V,2.00,2.060,0.25,1.060,1,0.00,,,,,,,,,,
emerald,148,8,25,3,6.09,,N,2.50,3.770,0.38,1.060,4,0.03,,,,,,,,,,
emergency,143,23,51,29,3.25,,N,2.00,4.480,0.19,1.310,8,0.01,,,,,,,,,,
emotion,143,11,39,34,2.40,,N,2.27,4.580,0.18,1.310,16,0.06,10,0.01,,,,,,,,
emotional,153,16,44,68,,,AJ,2.29,5.020,0.07,1.060,3,0.00,,,,,,,,,,
empathy,154,10,39,1,1.90,,N,2.20,2.620,0.20,1.150,4,0.12,,,,,,,,,,
emperor,152,15,41,19,,,N,1.55,3.710,0.00,1.000,2,0.01,,,,,,,,,,
empire,152,25,52,22,,,N,,,,,6,0.03,,,,,,,,,,
employee,138,9,26,24,5.78,,N,3.22,3.490,0.56,1.560,9,0.01,33,0.00,,,,,,,,
employer,142,7,20,15,6.04,,N,3.00,3.300,0.43,1.330,6,0.01,,,,,,,,,,
employment,142,6,19,47,3.75,,N,2.50,2.460,0.50,1.050,5,0.01,,,,,,,,,,
empty,149,11,33,64,3.65,,AJ,0.27,1.010,0.36,1.810,36,0.01,,,,,,,,,,
encyclopedia,148,14,28,1,,,N,2.77,4.920,0.08,1.030,5,0.01,,,,,,,,,,
end,119,8,20,410,3.16,G,N,1.43,2.350,0.57,1.840,77,0.02,17,0.01,,,,,,E--,10,0.03
ending,144,11,28,31,2.90,,N,2.18,5.710,0.00,1.000,4,0.02,25,0.00,,,,,,,,
endless,149,20,52,20,,,AJ,,,,,4,0.01,,,,,,,,,,
enemy,198,17,29,88,4.88,,N,1.67,2.350,0.33,2.110,22,0.03,,,,,-N-MY,1,0.49,E-E-Y,4,0.15
energetic,152,23,68,11,,,AJ,,,,,7,0.01,,,,,,,,,,
energy,148,22,66,100,3.44,,N,1.39,2.890,0.56,1.220,29,0.03,,,,,,,,,,
engage,140,18,47,66,,G,V,1.53,2.520,0.07,1.030,3,0.02,,,,,,,,ENG---,4,0.07
engagement,153,9,23,22,3.46,,N,,,,,4,0.00,,,,,,,,,,
engine,184,16,37,50,5.88,,N,1.21,2.400,0.50,1.320,20,0.05,,,,,--GINE,2,0.75,ENG---,4,0.46
engineer,152,24,49,42,,G,N,1.35,4.420,0.04,1.110,10,0.09,,,,,,,,,,
england,140,12,40,157,,,N,,,,,14,0.01,,,,,,,,,,
english,139,16,33,195,,,AJ,1.60,3.340,0.47,2.070,43,0.01,8,0.00,,,,,,ENG----,4,0.30
enjoy,143,14,36,44,2.66,,V,2.79,4.520,0.29,1.190,12,0.02,,,,,,,,,,
enough,146,19,50,430,,,AJ,,,,,6,0.02,,,,,,,,,,
enrage,148,10,37,1,,,V,2.25,3.450,0.00,1.000,0,0.03,,,,,,,,,,
ensign,79,7,24,4,3.51,,N,,,,,0,0.29,,,,,,,,,,
enter,146,8,21,78,3.15,,V,1.62,1.990,0.38,1.430,11,0.01,,,,,,,,,,
entertain,178,20,54,14,3.93,G,V,3.17,5.370,0.06,1.150,2,0.02,,,,,,,,,,
entertainment,148,9,36,29,,,N,1.67,2.330,0.33,1.100,4,0.01,14,0.00,,,,,,,,
entrance,148,8,15,57,4.92,T,N,2.00,2.960,0.50,1.300,12,0.00,20,0.00,,,,,,,,
entry,150,13,47,26,,,N,0.77,2.040,0.00,1.000,6,0.03,,,,,,,,,,
envelope,145,10,35,21,5.75,,N,1.75,2.560,0.38,1.240,8,0.00,11,0.00,,,,,,,,
environment,150,21,59,42,,,N,1.85,2.660,0.25,1.470,13,0.04,,,,,,,,,,
envy,150,10,22,7,2.34,,N,1.50,1.990,0.20,1.220,3,0.03,,,,,,,,E---,15,0.03
epistle,79,8,21,1,5.58,,N,,,,,0,0.30,,,,,,,,,,
equal,136,15,36,90,2.68,,AJ,1.64,2.470,0.57,1.470,11,0.04,,,,,,,,,,
equation,150,8,26,33,4.45,,N,1.50,2.350,0.25,1.070,5,0.01,,,,,,,,,,
era,139,16,45,30,,,N,0.80,2.310,0.20,1.070,4,0.04,,,,,,,,,,
eraser,152,10,32,2,,,N,0.50,2.610,0.38,1.110,7,0.03,,,,,,,,,,
erect,142,17,39,13,2.13,,AJ,,,,,2,0.03,,,,,,,,,,
ermine,79,4,18,0,4.08,,N,,,,,0,0.46,,,,,,,,,,
erode,152,24,54,4,,,V,,,,,4,0.04,,,,,,,,,,
error,140,5,11,80,2.85,,N,1.00,1.930,0.20,1.240,7,0.00,,,,,,,,,,
erupt,153,6,26,2,,,V,1.60,1.860,0.40,1.560,2,0.03,,,,,,,,,,
escalator,154,7,19,0,,,N,0.86,1.560,0.29,1.120,3,0.01,,,,,,,,,,
escape,146,19,41,65,,G,V,1.47,3.960,0.18,1.110,12,0.04,13,0.03,,,,,,,,
escargot,151,10,28,0,,,N,1.50,1.900,0.10,1.060,1,0.05,,,,,,,,,,
essay,146,17,35,19,5.22,,N,2.82,4.290,0.18,1.150,11,0.03,,,,,,,,,,
essence,147,20,51,15,1.66,,N,1.17,2.620,0.06,1.020,1,0.30,,,,,,,,,,
esteem,154,9,28,5,2.60,,V,1.56,2.630,0.22,1.090,3,0.05,,,,,,,,,,
estimate,144,13,32,39,2.75,,N,,,,,4,0.04,,,,,,,,,,
eternal,143,11,27,29,2.02,,AJ,2.00,2.080,0.13,1.030,5,0.04,,,,,,,,,,
eternity,146,10,24,6,2.95,,N,1.67,2.400,0.22,1.170,7,0.03,9,0.00,,,,,,,,
ethics,148,19,56,19,,,N,1.47,2.360,0.13,1.050,5,0.07,16,0.00,,,,,,,,
etiquette,153,11,43,3,,,N,1.40,1.780,0.20,1.180,4,0.07,,,,,,,,,,
europe,148,24,51,118,5.76,,N,2.45,4.650,0.35,1.290,11,0.06,,,,,,,,,,
evacuate,148,13,27,1,3.65,,V,0.85,1.670,0.00,1.000,1,0.01,,,,,,,,,,
evaluate,182,24,56,13,3.84,,V,1.78,3.710,0.13,1.050,4,0.04,,,,,,,,,,
even,132,9,29,1171,2.75,,AJ,0.57,1.290,0.43,1.650,13,0.02,12,0.00,,,-VEN,2,0.39,E---,15,0.10
evening,156,8,31,133,3.93,,N,1.38,3.510,0.50,1.140,9,0.01,,,,,----ING,55,0.00,,,
event,146,22,50,81,3.72,,N,1.32,2.960,0.16,1.200,22,0.07,,,,,,,,,,
ever,147,14,33,345,2.91,,AD,1.46,4.300,0.31,1.190,6,0.07,,,,,,,,E---,15,0.05
everyday,138,27,49,12,,,AJ,,,,,6,0.07,26,0.00,,,,,,,,
everything,152,8,34,185,,,P,1.00,1.130,0.60,1.470,9,0.10,,,,,,,,,,
evict,148,20,44,0,4.22,,V,,,,,2,0.04,,,,,,,,,,
evidence,150,16,50,204,3.45,,N,1.73,2.980,0.20,1.270,6,0.02,,,,,,,,,,
evil,147,11,29,72,2.28,,AJ,2.09,5.090,0.73,1.830,52,0.01,,,,,,,,E---,15,0.05
ewe,149,11,33,1,4.45,,N,2.00,2.960,0.18,1.040,2,0.27,,,,,,,,,,
exact,145,14,49,27,2.63,,AJ,1.38,2.210,0.23,1.560,11,0.02,15,0.00,,,,,,,,
exam,180,7,21,29,5.14,,N,1.43,1.370,0.14,1.250,10,0.01,21,0.00,,,,,,,,
examine,148,14,32,33,3.32,,V,2.17,4.400,0.17,1.050,4,0.04,,,,,,,,,,
example,146,22,69,292,,,N,1.06,1.770,0.17,1.340,5,0.03,,,,,,,,,,
excedrin,148,10,11,0,,,N,4.50,4.800,0.13,1.010,2,0.03,,,,,,,,,,
excel,145,25,70,1,,,V,,,,,3,0.02,,,,,,,,,,
excellent,147,14,32,68,2.23,,AJ,3.33,4.220,0.58,1.200,10,0.00,,,,,,,,,,
exceptional,148,18,42,19,,,AJ,2.81,5.250,0.19,1.060,4,0.01,,,,,,,,,,
exchange,150,16,42,70,,,V,1.57,2.310,0.36,1.340,10,0.07,,,,,,,,,,
excise,148,16,50,4,2.64,T,N,0.85,1.930,0.00,1.000,0,0.19,,,,,,,,,,
excited,153,19,55,23,,G,AJ,,,,,9,0.04,,,,,,,,,,
excitement,154,17,64,32,,,N,,,,,13,0.02,,,,,,,,,,
exciting,145,15,52,29,,,AJ,,,,,19,0.03,25,0.00,,,,,,,,
exclamation point,147,18,66,0,,,N,,,,,1,0.05,,,,,,,,,,
excuse,148,16,40,27,3.05,,V,1.06,2.880,0.19,1.440,15,0.08,,,,,,,,,,
executive,141,19,49,50,,,N,1.24,2.200,0.24,1.060,8,0.04,,,,,,,,,,
exercise,148,28,54,58,4.62,G,N,3.12,7.450,0.58,2.160,40,0.01,,,,,,,,,,
exhale,144,6,11,0,4.50,,V,1.20,1.470,0.20,1.380,3,0.01,28,0.00,,,,,,,,
exhausted,152,3,14,15,,,V,2.00,2.280,0.33,1.080,2,0.00,,,,,,,,,,
exist,149,20,43,59,,,V,2.35,5.790,0.18,1.120,7,0.07,,,,,,,,,,
existence,146,14,42,107,,,N,2.42,2.920,0.08,1.030,1,0.02,,,,,,,,,,
exit,139,8,15,7,4.25,,N,1.12,1.640,0.63,2.240,12,0.00,13,0.00,,,,,,,,
expense,184,15,44,50,2.77,,N,2.07,3.560,0.07,1.160,3,0.02,20,0.00,,,---ENSE,4,0.08,EXP----,12,0.17
expensive,145,13,41,44,2.45,,AJ,1.85,3.430,0.39,1.470,42,0.06,,,,,,,,,,
experience,147,19,60,276,,,N,1.35,2.640,0.00,1.000,8,0.05,,,,,,,,,,
experiment,140,15,34,122,,,N,2.69,2.880,0.69,1.440,23,0.01,,,,,,,,,,
expert,140,18,45,30,3.87,,N,2.29,4.340,0.14,1.120,7,0.04,15,0.00,,,,,,,,
explain,143,17,53,64,2.60,,V,1.56,3.920,0.31,1.590,13,0.09,,,,,,,,EXP----,12,0.10
explanation,153,21,49,43,3.25,,N,1.52,4.040,0.05,1.050,3,0.04,,,,,,,,,,
explode,142,15,44,6,4.92,,V,1.73,2.130,0.53,2.110,14,0.03,,,,,,,,EXP----,12,0.05
explorer,148,20,55,4,,,N,,,,,1,0.03,,,,,,,,,,
explosion,153,15,35,15,,,N,2.62,3.050,0.39,1.410,9,0.01,,,,,,,,,,
express,145,16,47,42,2.58,N,V,0.77,1.810,0.08,1.070,4,0.01,20,0.01,,,,,,EXP----,12,7.00
expression,195,16,52,79,2.48,,N,2.21,4.590,0.29,1.110,6,0.04,,,,,,,,,,
extension,147,14,42,36,,,N,1.18,2.930,0.18,1.060,3,0.01,,,,,,,,,,
extinct,150,13,32,1,,,AJ,1.22,1.860,0.22,1.140,6,0.01,,,,,,,,,,
extra,146,18,41,50,,G,AJ,1.14,3.340,0.14,1.290,12,0.02,,,,,,,,,,
extravagant,154,25,67,5,3.39,,AJ,,,,,4,0.07,,,,,,,,,,
extreme,141,22,95,62,2.34,,AJ,,,,,5,0.04,,,,,,,,,,
extremity,146,21,64,4,4.04,G,N,,,,,1,0.12,,,,,,,,,,
eye,127,13,24,122,6.28,,N,1.82,3.300,0.73,2.080,46,0.00,25,0.03,,,--E,24,0.02,E--,10,0.03
eyeball,148,19,36,2,,,N,,,,,1,0.01,,,,,,,,,,
eyebrows,147,16,38,9,,,N,,,,,3,0.01,,,,,,,,,,
eyelash,150,15,27,0,,,N,,,,,3,0.01,,,,,,,,,,
eyes,140,15,31,394,,,N,2.08,3.530,0.31,1.590,40,0.00,,,,,,,,,,
fable,156,8,18,2,4.51,,N,1.00,2.270,0.29,1.020,7,0.03,11,0.04,15,0.01,,,,FA---,16,0.01
fabric,197,15,36,15,6.55,,N,3.36,3.030,0.46,1.270,13,0.01,,,,,,,,,,
face,127,20,38,371,5.68,G,N,1.22,2.120,0.56,2.100,67,0.01,14,0.12,15,0.18,,,,FA--,14,0.18
fact,195,18,51,447,3.08,,N,1.50,3.450,0.39,1.300,19,0.02,15,0.34,13,0.08,,,,FA--,14,0.03
factor,147,15,51,71,,,N,1.33,2.430,0.00,1.000,2,0.03,,,,,,,,,,
factory,197,24,49,32,6.87,,N,2.05,4.280,0.41,1.380,10,0.00,,,13,0.02,,,,,,
facts,150,14,36,87,3.31,,N,,,,,4,0.01,,,13,0.08,,,,FA---,16,0.05
faculty,147,14,34,74,,,N,3.14,5.060,0.07,1.090,1,0.01,,,13,0.01,,,,,,
fad,140,16,47,2,3.37,,N,1.21,3.570,0.21,1.240,4,0.06,15,0.08,13,0.18,-AD,7,0.35,FA-,6,0.02
fade,124,23,49,2,2.53,,V,1.95,4.560,0.10,1.060,6,0.02,23,0.06,15,0.16,-AD,8,0.21,FA--,14,0.02
fail,180,21,52,37,3.23,,V,1.60,4.230,0.30,2.150,24,0.04,28,0.10,15,0.02,--IL,17,0.02,FA--,14,0.04
failure,143,21,60,89,2.56,,N,0.45,1.250,0.15,1.360,12,0.03,,,15,0.01,,,,,,
faint,165,18,50,25,4.46,,AJ,1.53,3.500,0.20,1.460,5,0.04,6,0.18,15,0.02,-AINT,4,0.22,FAI--,3,0.34
fair,132,25,59,77,4.09,N,AJ,1.35,4.180,0.30,1.660,27,0.02,25,0.23,15,0.00,-AIR,4,0.39,FA--,14,0.07
fairy,140,13,21,6,4.49,,N,,,,,10,0.01,8,0.18,,,,,,FAR--,3,0.02
fairytale,147,14,27,1,,,N,2.17,3.350,0.17,1.050,4,0.02,,,,,,,,,,
faith,198,12,40,111,2.71,,N,2.73,2.990,0.55,1.300,16,0.02,,,15,0.16,,,,FAI--,3,0.50
faithful,151,23,58,12,,,AJ,3.05,5.190,0.11,1.110,3,0.01,,,,,,,,,,
fake,142,19,48,10,2.88,,AJ,,,,,46,0.05,20,0.08,15,0.04,-AKE,9,0.18,FA--,14,0.12
fall,149,17,38,147,3.86,P,V,1.41,3.270,0.65,2.870,80,0.02,15,0.14,6,0.75,-ALL,7,0.27,FA--,14,0.44
false,148,4,13,29,2.17,,AJ,0.50,0.970,0.50,1.560,28,0.01,,,,,,,,FA---,16,0.07
fame,197,13,39,18,2.21,,N,1.75,2.840,0.33,1.130,8,0.01,15,0.09,15,0.04,,,,FA--,14,0.03
family,198,25,50,331,5.85,,N,2.36,5.500,0.48,1.530,56,0.00,,,,,,,,,,
famine,126,11,24,3,3.71,,N,1.22,1.820,0.11,1.040,3,0.04,,,,,,,,,,
famished,154,7,17,0,,,V,0.71,2.010,0.29,1.060,4,0.03,,,,,,,,,,
famous,140,14,30,89,3.05,,AJ,,,,,11,0.06,,,15,0.01,,,,,,
fan,148,17,31,18,5.53,N,N,1.53,4.750,0.06,1.170,1,0.01,14,0.07,13,0.00,-AN,9,0.27,FA-,6,0.07
fancy,148,19,46,16,2.78,P,N,2.12,2.340,0.44,1.310,12,0.04,,,13,0.00,,,,FA---,16,0.03
fangs,154,14,26,2,5.70,,N,2.33,4.310,0.17,1.160,2,0.01,,,,,,,,,,
fantastic,153,15,47,20,,,AJ,3.73,4.340,0.36,1.090,7,0.00,,,,,,,,,,
fantasy,145,8,30,14,2.03,,N,1.12,1.190,0.50,1.230,18,0.08,,,,,,,,,,
far,147,12,25,427,2.98,,AD,1.10,1.960,0.70,2.400,38,0.01,10,0.28,,,-AR,8,0.14,FA-,6,0.12
farm,162,12,31,125,5.53,,N,1.50,1.550,0.67,1.880,38,0.01,7,0.35,,,,,,FA--,14,0.01
farmer,198,33,53,23,6.42,,N,3.03,6.260,0.17,1.140,8,0.07,,,,,,,,,,
fascism,148,19,63,3,,,N,,,,,0,0.19,,,,,,,,,,
fashion,148,15,32,69,3.75,,N,1.60,2.500,0.47,1.660,9,0.01,4,0.35,13,0.01,,,,,,
fast,127,7,20,78,2.93,N,AJ,1.43,1.710,1.00,3.020,85,0.02,9,0.22,13,0.12,-AST,6,0.55,FA--,15,0.09
fasten,156,17,33,4,3.44,,V,1.69,2.780,0.19,1.040,6,0.00,,,,,----EN,15,0.00,,,
fat,184,16,36,60,4.80,,N,1.47,4.400,0.60,2.770,84,0.08,15,0.10,13,0.24,-AT,7,0.18,FA-,6,0.73
fate,184,13,54,33,2.75,,N,1.64,2.700,0.09,1.210,5,0.07,25,0.05,15,0.06,-ATE,7,0.21,FA--,8,0.17
father,126,4,18,183,5.90,,N,0.50,0.950,0.75,1.860,30,0.02,,,6,0.02,----ER,37,0.02,,,
fatigue,154,6,27,11,,,N,1.67,2.570,0.17,1.030,2,0.01,,,,,,,,,,
fattening,152,20,47,2,,,V,2.18,4.940,0.12,1.030,10,0.05,,,,,,,,,,
faucet,148,7,16,1,6.20,,N,2.00,2.320,1.00,1.430,8,0.01,,,,,,,,,,
fault,148,20,42,22,2.87,T,N,1.68,2.080,0.21,1.130,9,0.07,7,0.04,6,0.01,,,,FA---,16,0.03
favor,146,21,52,78,,,N,1.47,3.800,0.16,1.030,6,0.10,,,15,0.10,,,,,,
favorite,138,14,45,41,,,N,1.14,3.130,0.07,1.020,3,0.00,13,0.00,15,0.04,,,,,,
fawn,146,6,27,1,5.47,T,V,0.60,1.610,0.40,1.070,2,0.14,10,0.08,6,0.04,-AWN,5,0.06,,,
fbi,153,17,44,0,,,N,,,,,5,0.02,,,,,,,,,,
fear,148,17,55,127,3.22,,N,1.40,1.910,0.67,1.800,57,0.02,22,0.17,,,-EAR,9,0.31,F---,31,0.05
feast,165,15,28,3,5.36,,N,2.58,5.690,0.25,1.140,5,0.01,8,0.16,,,-EAST,4,0.29,FE---,6,0.08
feather,156,14,22,6,6.63,,N,1.23,3.330,0.46,1.180,13,0.01,,,14,0.10,,,,,,
feathers,146,9,20,14,,,N,1.50,2.190,0.00,1.000,2,0.01,,,14,0.10,,,,,,
feature,152,10,38,37,,,N,1.20,2.810,0.00,1.000,3,0.03,6,0.15,,,,,,,,
federal,153,18,35,246,,,AJ,1.82,3.650,0.24,1.140,6,0.00,,,,,,,,,,
fee,152,10,28,16,,,N,1.56,3.150,0.22,1.040,6,0.00,33,0.02,9,0.03,--E,24,0.04,,,
feeble,154,11,37,8,,,AJ,1.18,3.190,0.09,1.040,3,0.08,,,9,0.05,---BLE,19,0.01,,,
feed,125,15,32,123,4.65,,V,2.57,5.190,0.07,1.020,2,0.02,26,0.09,9,0.53,-E-D,21,0.10,F---,31,0.01
feel,175,14,45,216,3.16,,V,1.71,3.330,0.14,1.790,21,0.03,17,0.35,9,0.11,-EEL,5,0.29,F---,31,0.01
feeling,195,18,52,172,2.33,,N,2.50,5.610,0.31,1.680,43,0.01,,,,,----ING,55,0.05,,,
feelings,147,15,35,61,,,N,,,,,13,0.01,,,,,,,,,,
feet,148,10,26,283,6.28,P,N,1.20,1.790,0.50,2.310,35,0.00,17,0.22,9,0.17,-E-T,24,0.12,F---,31,0.03
fell,180,18,37,92,4.03,,V,1.35,5.170,0.00,1.000,0,0.06,16,0.12,14,0.17,-ELL,7,0.08,,,
fellow,145,17,36,63,,,N,2.31,4.740,0.00,1.000,0,0.03,6,0.02,14,0.02,--LLOW,8,0.11,,,
felt,148,17,51,357,4.33,W,N,2.18,5.860,0.00,1.000,2,0.01,7,0.45,14,0.01,-ELT,5,0.17,-E-T,18,0.02
female,143,12,24,50,6.17,,N,2.27,1.780,0.36,1.890,19,0.03,,,9,0.01,,,,,,
fence,127,20,41,30,5.85,N,N,0.94,2.090,0.39,1.940,14,0.02,20,0.11,,,,,,FE---,6,0.05
festival,148,13,38,27,,,N,1.70,2.720,0.30,1.120,4,0.01,,,,,,,,,,
feud,198,7,15,1,3.08,,N,1.43,2.340,0.14,1.010,1,0.05,,,,,,,,,,
fever,184,14,30,19,4.37,,N,1.92,4.790,0.31,1.110,12,0.03,,,14,0.04,--VER,14,0.13,FE---,6,0.05
few,142,12,28,601,3.02,,AJ,1.90,2.530,0.60,1.950,20,0.04,30,0.01,,,-EW,8,0.23,F--,14,0.01
fib,152,4,13,0,,,N,1.00,1.460,0.25,1.070,2,0.07,11,0.25,12,0.08,,,,FI-,6,0.01
fiber,146,21,49,27,,,N,,,,,4,0.01,,,,,,,,FI---,23,0.02
fibre,79,11,35,27,4.50,,N,,,,,0,0.22,,,,,,,,,,
fiction,145,16,25,46,3.00,,N,,,,,15,0.04,,,,,,,,,,
fiddle,147,15,41,2,5.80,,N,,,,,3,0.03,7,0.16,,,-IDDLE,4,0.15,,,
field,197,34,63,274,6.67,N,N,1.85,5.710,0.46,1.910,41,0.00,12,0.13,,,,,,FI---,13,0.00
fierce,152,15,44,8,,,AJ,1.36,3.350,0.07,1.020,2,0.03,,,,,,,,,,
fig,156,10,13,72,6.28,,N,1.10,2.780,0.10,1.180,1,0.01,11,0.29,12,0.01,-IG,7,0.29,FI-,6,0.25
fight,148,24,56,98,4.16,,V,2.05,4.010,0.50,4.370,90,0.05,19,0.10,14,0.15,-IGHT,8,0.25,FI---,13,0.20
fighter,148,13,45,9,5.67,,N,0.62,2.520,0.39,1.440,7,0.01,,,,,,,,,,
figure,133,19,55,209,4.68,N,N,0.95,1.470,0.16,1.190,25,0.04,,,12,0.00,,,,,,
file,143,16,50,81,4.63,N,N,1.19,2.090,0.31,1.120,11,0.03,15,0.16,14,0.04,,,,,,
fill,180,18,36,50,3.63,,V,1.39,3.460,0.17,1.060,9,0.06,15,0.11,,,-ILL,11,0.12,,,
film,138,12,28,96,5.91,T,N,2.00,4.080,0.55,1.420,18,0.00,,,12,0.00,,,,,,
filth,150,8,27,2,4.57,,N,1.29,1.810,0.29,1.070,2,0.03,,,,,,,,FI---,23,0.01
filthy,147,7,25,7,4.57,,AJ,2.00,3.360,0.14,1.110,1,0.01,,,,,,,,,,
fin,149,12,20,2,,,N,2.09,3.950,0.36,1.080,5,0.01,18,0.13,12,0.02,-IN,7,0.17,FI-,6,0.18
final,156,8,24,156,3.68,,AJ,1.75,3.630,0.13,1.060,13,0.00,,,14,0.03,--NAL,8,0.47,FI----,13,0.10
financial,148,13,35,86,3.15,,AJ,1.00,2.350,0.09,1.060,3,0.02,,,14,0.02,,,,,,
find,180,11,25,399,5.86,,V,0.70,1.510,0.40,2.730,26,0.04,12,0.22,14,0.08,-IND,7,0.15,F---,31,0.06
fine,143,20,64,161,3.20,N,N,0.84,1.570,0.21,1.250,20,0.04,21,0.08,14,0.12,-INE,8,0.23,F---,31,0.03
finery,79,10,43,0,3.45,,N,,,,,0,0.22,,,,,,,,,,
finger,198,12,39,40,6.20,,N,0.73,1.300,0.73,2.100,31,0.02,,,,,---GER,19,0.16,FIN---,7,0.14
fingernail,140,15,26,2,,,N,1.47,2.730,0.13,1.180,2,0.00,,,,,,,,,,
fingers,146,8,21,66,6.20,,N,0.43,0.940,0.14,1.270,10,0.01,,,12,0.00,,,,,,
finish,148,8,21,39,2.78,T,V,1.25,2.750,0.63,2.580,32,0.01,,,12,0.04,,,,FIN---,7,0.62
finished,150,9,29,87,,,V,1.75,1.510,0.13,1.070,3,0.01,,,,,,,,,,
fire,165,18,42,187,6.13,N,N,2.06,2.500,0.63,2.850,91,0.00,11,0.18,14,0.04,-IR-,11,0.13,F---,31,0.05
fireman,109,14,28,1,6.80,,N,,,,,4,0.06,,,,,,,,,,
fireplace,149,15,30,6,6.96,,N,2.54,4.470,0.39,1.180,8,0.03,,,,,,,,,,
firm,150,20,44,109,3.96,N,AJ,1.53,5.610,0.16,1.040,7,0.01,6,0.15,,,,,,F---,31,0.01
first,184,11,31,1360,3.07,,AJ,0.45,1.250,0.36,2.400,36,0.05,5,0.33,,,---ST,21,0.01,FI---,13,0.03
fish,165,24,52,35,5.84,G,N,1.26,3.530,0.74,4.530,90,0.01,8,0.44,12,0.50,--SH,15,0.42,F---,31,0.09
fishing,132,15,40,32,5.05,,N,2.00,4.490,0.50,1.860,18,0.00,25,0.00,12,0.00,,,,,,
fist,127,8,18,26,6.40,,N,1.38,2.040,0.63,1.640,8,0.02,16,0.17,12,0.03,-IST,4,0.44,,,
fit,147,21,56,75,3.45,N,V,1.11,1.780,0.37,1.440,17,0.08,13,0.15,12,0.07,-IT,10,0.19,F--,14,0.05
fitness,153,20,37,8,,,N,3.39,4.980,0.22,1.150,5,0.02,,,,,,,,,,
five,153,14,31,286,3.53,,N,1.18,1.870,0.36,1.470,9,0.04,15,0.06,14,0.35,,,,F---,31,0.01
fix,145,9,34,14,3.10,N,V,1.50,1.190,0.50,2.350,48,0.02,16,0.43,12,0.01,,,,FI-,6,0.10
flag,145,12,23,16,6.20,,N,0.73,1.130,0.64,2.010,32,0.04,18,0.00,10,0.27,,,,FL--,14,0.08
