en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue
marine,navy,морські,військовоморський флот,False,,морські
throat,neck,горло,шия,False,,горло
ring,necklace,кільце,ожерелье,False,,кільце
necessary,need,необхідно,потреба,False,,необхідно
positive,negative,позитивний,негативний,False,,позитивний
grandson,nephew,онук,племінник,False,,онук
worried,nervous,турбується,нервовий,False,,турбується
channel,news,канал,новини,False,,канал
article,newspaper,стаття,газета,False,,стаття
midnight,noon,опівночі,полудня,False,,опівночі
healthy,normal,здоровий,нормально,False,,здоровий
south,north,південь,північ,False,,південь
mouth,nose,рот,ніс,False,,рот
atomic,nuclear,атомний,ядерна,False,,атомний
swear,oath,клянуся,присяга,False,,клянуся
clearly,obviously,ясно,очевидно,False,,ясно
sea,ocean,море,океан,False,,море
september,october,вересень,жовтень,False,,вересень
insult,offend,образа,образити,False,,образа
desk,office,стіл,офіс,False,,стіл
officially,official,офіційно,офіційний,False,,офіційно
sometimes,often,іноді,часто,False,,іноді
coal,oil,вугілля,олія,False,,вугілля
garlic,onion,часник,цибуля,False,,часник
enemy,opponent,ворог,опонент,False,,ворог
choice,option,вибір,варіант,False,,вибір
green,orange,зелений,помаранчевий,False,,зелений
planet,orbit,планета,орбіта,False,,планета
command,order,команда,порядок,False,,команда
arrange,organize,влаштувати,організувати,False,,влаштувати
result,outcome,результат,результат,True,свинцю,свинцю
property,owner,власність,власник,False,,власність
air,oxygen,повітря,кисень,False,,повітря
envelope,package,конверт,пакет,False,,конверт
suffering,pain,страждання,біль,False,,страждання
artist,painter,художник,художник,True,творча людина,творча людина
section,paragraph,розділ,параграф,False,,розділ
supernatural,paranormal,надприродні,паранормальні,False,,надприродні
adult,parent,дорослий,батько,False,,дорослий
matter,particle,матерія,частинка,False,,матерія
reception,party,прийом,вечірка,False,,прийом
enthusiasm,passion,ентузіазм,пристрасть,False,,ентузіазм
ticket,passport,квиток,паспорт,False,,квиток
code,password,код,пароль,False,,код
future,past,майбутнє,минуле,False,,майбутнє
route,path,маршрут,шлях,False,,маршрут
miserable,pathetic,нещасний,жалюгідний,False,,нещасний
guard,patrol,охоронець,патруль,False,,охоронець
paper,pen,папір,ручка,False,,папір
vagina,penis,вагіна,пеніс,False,,вагіна
population,people,населення,люди,False,,населення
ideal,perfect,ідеальний,ідеально,False,,ідеальний
show,performance,шоу,продуктивність,False,,шоу
lipstick,perfume,помада,парфюмерия,False,,помада
radius,perimeter,радіус,периметр,False,,радіус
phase,period,фаза,період,False,,фаза
character,personality,характер,особистість,False,,характер
view,perspective,вигляд,перспектива,False,,вигляд
picture,photo,фотографія,фотографія,True,дивіться,дивіться
autograph,photographer,автограф,фотограф,False,,автограф
dictionary,phrase,словник,фраза,False,,словник
sexual,physical,сексуальний,фізична,False,,сексуальний
fragment,piece,фрагмент,шматок,False,,фрагмент
cow,pig,корова,свиня,False,,корова
tablet,pill,планшети,таблетки,False,,планшети
astronaut,pilot,астронавт,пілот,False,,астронавт
preparation,planning,підготовка,планування,False,,підготовка
cement,plastic,цемент,пластик,False,,цемент
bowl,plate,чаша,пластина,False,,чаша
explanation,plausible,пояснення,правдоподібний,False,,пояснення
coach,player,тренер,гравець,False,,тренер
comfortable,pleasant,комфортно,приємно,False,,комфортно
text,poem,текст,поема,False,,текст
gambling,poker,азартні ігри,покер,False,,азартні ігри
critical,political,критичний,політичні,False,,критичний
policy,politician,політика,політик,False,,політика
journalism,politics,журналістика,політика,False,,журналістика
status,position,статус,позиція,False,,статус
chance,possibility,шанс,можливість,False,,шанс
helpless,powerless,безпорадний,безсильний,False,,безпорадний
literally,practically,буквально,практично,False,,буквально
prey,predator,здобич,хижак,False,,здобич
birth,pregnancy,народження,вагітність,False,,народження
ready,prepare,готовий,підготуйте,False,,готовий
chancellor,president,канцлер,президент,False,,канцлер
button,press,кнопка,преса,False,,кнопка
pulse,pressure,імпульс,тиск,False,,імпульс
value,price,вартість,ціна,False,,вартість
monk,priest,монах,священик,False,,монах
secondary,primary,вторинний,первинний,False,,вторинний
princess,prince,принцеса,принц,False,,принцеса
cell,prison,клітина,вязниця,False,,клітина
hostage,prisoner,заручники,увязнений,False,,заручники
private,privacy,приватний,конфіденційність,False,,приватний
nobel,prize,нобель,премія,False,,нобель
maybe,probably,можливо,ймовірно,False,,можливо
capsule,probe,капсула,зонд,False,,капсула
trouble,problem,проблема,проблема,True,карк,карк
process,procedure,процес,процедура,False,,процес
create,produce,створити,продукція,False,,створити
brand,product,марка,продукт,False,,марка
factory,production,фабрика,виробництво,False,,фабрика
amateur,professional,аматор,професіонал,False,,аматор
dean,professor,декан,професор,False,,декан
project,program,проект,програма,False,,проект
forbidden,prohibit,заборонено,заборонити,False,,заборонено
guarantee,promise,гарантія,обіцянка,False,,гарантія
evidence,proof,докази,доказ,False,,докази
lawyer,prosecutor,адвокат,прокурор,False,,адвокат
rule,protocol,правило,протокол,False,,правило
model,prototype,модель,прототип,False,,модель
enable,provide,включити,забезпечити,False,,включити
medical,psychological,медичний,психологічна,False,,медичний
anatomy,psychology,анатомія,психологія,False,,анатомія
push,pull,натискати,витягувати,False,,натискати
insert,put,вставити,покласти,False,,вставити
quantity,quality,кількість,якість,False,,кількість
half,quarter,половина,квартал,False,,половина
slowly,quickly,повільно,швидко,False,,повільно
fox,rabbit,лиса,кролик,False,,лиса
squirrel,raccoon,білка,енота,False,,білка
marathon,race,марафон,раса,False,,марафон
contamination,radiation,забруднення,випромінювання,False,,забруднення
anger,rage,гнів,гнів,True,червоний,червоний
kidnapper,ransom,викрадач,викуп,False,,викрадач
occasionally,rarely,іноді,рідко,False,,іноді
mouse,rat,миша,щур,False,,миша
generator,reactor,генератор,реактор,False,,генератор
TRUE,real,правда,реальний,False,,правда
optimistic,realistic,оптимістичний,реалістичний,False,,оптимістичний
actually,really,насправді,дійсно,False,,насправді
front,rear,передній,задній,False,,передній
fair,reasonable,справедливий,розумний,False,,справедливий
just,recently,просто,нещодавно,False,,просто
record,recording,запис,запис,True,реєстр,реєстр
increase,reduce,збільшення,зменшити,False,,збільшення
fresh,refresh,свіжий,оновлення,False,,свіжий
philosophy,religion,філософія,релігія,False,,філософія
stay,remain,залишитись,залишаються,False,,залишитись
exceptional,remarkable,виняткові,дивовижний,False,,виняткові
forget,remember,забути,памятай,False,,забути
eliminate,remove,усунути,видалити,False,,усунути
hire,rent,оренду,оренду,True,візьміть,візьміть
fix,repair,виправити,ремонт,False,,виправити
answer,reply,відповідь,відповідь,True,резолюція,резолюція
career,reputation,карєра,репутація,False,,карєра
demand,request,попит,запит,False,,попит
resistance,resist,опору,протистояти,False,,опору
pub,restaurant,паб,ресторан,False,,паб
back,return,назад,повернення,False,,назад
bonus,reward,бонус,винагорода,False,,бонус
poor,rich,бідний,багатий,False,,бідний
drive,ride,привід,їздити,False,,привід
steal,rob,вкрасти,роб,False,,вкрасти
theft,robbery,крадіжка,пограбування,False,,крадіжка
dramatic,romantic,драматичний,романтична,False,,драматичний
caesar,rome,цезарь,рим,False,,цезарь
chain,rope,ланцюг,мотузка,False,,ланцюг
turn,rotate,поворот,обертати,False,,поворот
espionage,sabotage,шпигунство,саботаж,False,,шпигунство
security,safety,безпека,безпека,True,сертифікат,сертифікат
anchor,sail,якорь,вітрило,False,,якорь
pirate,sailor,пірат,моряк,False,,пірат
soup,salad,суп,салат,False,,суп
pension,salary,пенсія,зарплата,False,,пенсія
auction,sale,аукціон,продаж,False,,аукціон
ninja,samurai,я,самураї,False,,я
mud,sand,брудь,пісок,False,,брудь
radar,satellite,радар,супутник,False,,радар
cream,sauce,крем,соус,False,,крем
rescue,save,порятунок,зберегти,False,,порятунок
hero,savior,герой,спаситель,False,,герой
gossip,scandal,плітки,скандал,False,,плітки
tattoo,scar,татуювання,шрам,False,,татуювання
calendar,schedule,календар,розклад,False,,календар
class,school,клас,школа,False,,клас
technology,science,технологія,наука,False,,технологія
genius,scientist,геній,вчений,False,,геній
safe,secure,безпечно,безпечно,True,гума,гума
choose,select,вибрати,вибрати,True,віддаю перевагу,віддаю перевагу
stubborn,selfish,впертий,егоїстичний,False,,впертий
buy,sell,купити,продати,False,,купити
parliament,senate,парламент,сенат,False,,парламент
governor,senator,губернатор,сенатор,False,,губернатор
bring,send,принесіть,відправити,False,,принесіть
delicate,sensitive,делікатний,чутливий,False,,делікатний
word,sentence,слово,речення,False,,слово
speech,sermon,промова,проповідь,False,,промова
slave,servant,раб,слуга,False,,раб
refuge,shelter,притулок,притулок,True,святилище,святилище
crew,ship,екіпаж,корабель,False,,екіпаж
boot,shoe,завантаження,взуття,False,,завантаження
shot,shoot,стрілянину,стріляти,False,,стрілянину
ill,sick,хворий,хворий,True,зловісний,зловісний
form,sign,форма,знак,False,,форма
frequency,signal,частота,сигнал,False,,частота
stamp,signature,штамп,підпис,False,,штамп
silent,silence,тихо,тиша,False,,тихо
golden,silver,золотий,срібло,False,,золотий
simply,simple,просто,просто,True,але,але
toilet,sink,туалет,раковина,False,,туалет
drop,sip,падіння,глоток,False,,падіння
stand,sit,стоянка,сидіти,False,,стоянка
bone,skull,кістка,череп,False,,кістка
rest,sleep,відпочинок,спати,False,,відпочинок
little,small,невеликий,невеликі,False,,невеликий
taste,smell,смак,запах,False,,смак
worm,snake,червяк,змія,False,,червяк
shooter,sniper,стрільця,снайпер,False,,стрільця
rain,snow,дощ,сніг,False,,дощ
lemonade,soda,лимонад,сода,False,,лимонад
lunar,solar,місячний,сонячна,False,,місячний
nothing,something,нічого,щось,False,,нічого
elsewhere,somewhere,в іншому місці,десь,False,,в іншому місці
daughter,son,дочка,син,False,,дочка
album,song,альбом,пісня,False,,альбом
noise,sound,шум,звук,False,,шум
lasagna,spaghetti,лазанья,спагеті,False,,лазанья
talk,speak,розмова,говоріть,False,,розмова
expert,specialist,експерт,спеціаліст,False,,експерт
sensational,spectacular,сенсаційний,вражаюче,False,,сенсаційний
distance,speed,відстань,швидкість,False,,відстань
waste,spend,відходи,витратити,False,,відходи
soul,spirit,душа,дух,False,,душа
hobby,sport,хобі,спорт,False,,хобі
celebrity,star,знаменитість,зірка,False,,знаменитість
federal,state,федеральний,держава,False,,федеральний
comment,statement,коментар,заява,False,,коментар
platform,station,платформа,станція,False,,платформа
monument,statue,памятник,статуя,False,,памятник
concrete,steel,бетон,сталь,False,,бетон
already,still,вже,ще не,False,,вже
rock,stone,камінь,камінь,True,карін,карін
prevent,stop,запобігти,зупинитися,False,,запобігти
shop,store,магазин,магазин,True,олен,олен
wind,storm,вітер,шторм,False,,вітер
oven,stove,печ,печ,True,,духовка
unusual,strange,незвично,дивно,False,,незвично
plan,strategy,план,стратегія,False,,план
banana,strawberry,банани,полуниця,False,,банани
avenue,street,проспект,вулиця,False,,проспект
hit,strike,ударив,страйк,False,,ударив
nap,stroll,дрімати,прогулянка,False,,дрімати
firmly,strongly,твердо,сильно,False,,твердо
pyramid,structure,піраміда,структура,False,,піраміда
research,study,дослідження,дослідження,True,досліджувати,досліджувати
naïve,stupid,наївна,дурний,False,,наївна
madness,stupidity,божевілля,дурість,False,,божевілля
rhythm,style,ритм,стиль,False,,ритм
object,subject,обєкт,предмет,False,,обєкт
replace,substitute,замінити,замінник,False,,замінити
manage,succeed,керувати,успіх,False,,керувати
enough,sufficient,досить,достатньо,False,,досить
propose,suggest,запропонувати,запропонувати,True,запитання зявилося,запитання зявилося
briefcase,suitcase,портфель,валіз,False,,портфель
moon,sun,місяць,сонце,False,,місяць
saturday,sunday,субота,неділя,False,,субота
layer,surface,шар,поверхня,False,,шар
operate,surgery,працювати,хірургія,False,,працювати
nickname,surname,прізвище,прізвище,True,дуб,дуб
live,survive,живий,вижити,False,,живий
doubt,suspect,сумніви,підозрюваний,False,,сумніви
drown,swim,утонув,плавати,False,,утонув
flag,symbol,прапор,символ,False,,прапор
symptom,syndrome,симптом,синдром,False,,симптом
needle,syringe,ігла,шприц,False,,ігла
network,system,мережа,система,False,,мережа
potential,talent,потенціал,талант,False,,потенціал
learn,teach,навчитися,навчати,False,,навчитися
student,teacher,студент,вчитель,False,,студент
league,team,ліга,команда,False,,ліга
method,technique,метод,техніка,False,,метод
teenage,teenager,підліток,підліток,True,,нелітній
call,telephone,дзвонити,телефон,False,,дзвонити
radio,television,радіо,телебачення,False,,радіо
say,tell,скажіть,розкажіть,False,,скажіть
heat,temperature,тепло,температура,False,,тепло
golf,tennis,гольф,теніс,False,,гольф
experiment,test,експеримент,випробування,False,,експеримент
witness,testimony,свідка,свідчення,False,,свідка
grateful,thank,вдячний,дякую,False,,вдячний
what,that,що це,що,False,,що це
cinema,theater,кінотеатр,театр,False,,кінотеатр
idea,theory,ідея,теорія,False,,ідея
here,there,тут,там,False,,тут
thin,thick,тонкий,товстий,False,,тонкий
consider,think,розглянути,подумайте,False,,розглянути
hunger,thirst,голод,спрага,False,,голод
one,three,один,три,False,,один
crown,throne,корона,трон,False,,корона
finger,thumb,палець,палець,True,цифри,цифри
lightning,thunder,блискавка,гром,False,,блискавка
bind,tie,звязувати,краватка,False,,звязувати
detonator,timer,детонатор,таймер,False,,детонатор
skin,tissue,шкіра,тканини,False,,шкіра
name,title,імя,назва,False,,імя
potato,tomato,картопля,помідор,False,,картопля
nail,tooth,нігтя,зуб,False,,нігтя
hurricane,tornado,ураган,торнадо,False,,ураган
torment,torture,муки,тортури,False,,муки
blanket,towel,ковдру,рушник,False,,ковдру
doll,toy,лялька,іграшка,False,,лялька
modern,traditional,сучасні,традиційні,False,,сучасні
sad,tragic,сумно,трагічний,False,,сумно
spy,traitor,шпигун,зрадник,False,,шпигун
move,transfer,переміститися,перенесення,False,,переміститися
sensor,transmitter,сенсор,передавач,False,,сенсор
therapy,treatment,терапія,лікування,False,,терапія
bush,tree,кущ,дерево,False,,кущ
hearing,trial,слух,судовий розгляд,False,,слух
circle,triangle,круг,трикутник,False,,круг
double,triple,подвійне,тройний,False,,подвійне
jeep,truck,джип,вантажівка,False,,джип
monday,tuesday,понеділок,вівторок,False,,понеділок
bridge,tunnel,міст,тунель,False,,міст
chicken,turkey,курка,индюка,False,,курка
snail,turtle,улитка,черепаха,False,,улитка
disgusting,ugly,огидно,потворний,False,,огидно
final,ultimate,остаточний,остаточний,True,нетто,нетто
inability,unable,нездатність,не в змозі,False,,нездатність
realize,understand,усвідомити,розумію,False,,усвідомити
suddenly,unexpectedly,раптом,несподівано,False,,раптом
injustice,unfair,несправедливість,несправедливо,False,,несправедливість
badge,uniform,значок,однорідна,False,,значок
special,unique,спеціальний,унікальний,False,,спеціальний
college,university,коледж,університет,False,,коледж
anonymous,unknown,анонімний,невідоме,False,,анонімний
uncomfortable,unpleasant,незручно,неприємно,False,,незручно
down,up,вниз,вгору,False,,вниз
lower,upper,нижче,верхній,False,,нижче
blood,urine,кров,сеча,False,,кров
apply,use,застосовувати,використання,False,,застосовувати
ordinary,usual,звичайний,зазвичай,False,,звичайний
normally,usually,зазвичай,зазвичай,True,не помітно,не помітно
antidote,vaccine,антидот,вакцинація,False,,антидот
desert,valley,пустеля,долина,False,,пустеля
zombie,vampire,зомбі,вампір,False,,зомбі
trailer,van,причеп,фургон,False,,причеп
cinnamon,vanilla,кориця,ваніль,False,,кориця
valve,ventilation,клапан,вентиляція,False,,клапан
mars,venus,марс,венера,False,,марс
check,verify,перевірка,перевірка,True,обґрунтування,обґрунтування
extremely,very,надзвичайно,дуже,False,,надзвичайно
dvd,video,dvd,відео,False,,dvd
camp,village,табір,село,False,,табір
revelation,vision,відкриття,бачення,False,,відкриття
protein,vitamin,білки,вітамін,False,,білки
whiskey,vodka,віскі,горілка,False,,віскі
volunteer,voluntarily,волонтер,добровільно,False,,волонтер
majority,vote,більшість,голосування,False,,більшість
candidate,voter,кандидат,виборця,False,,кандидат
waiter,waitress,офіціант,офіціантка,False,,офіціант
run,walk,бігти,ходити,False,,бігти
pocket,wallet,кишеню,гаманець,False,,кишеню
soldier,warrior,солдат,воїн,False,,солдат
clean,wash,чистий,мити,False,,чистий
look,watch,дивіться,годинник,False,,дивіться
sherlock,watson,шерлок,уотсон,False,,шерлок
strong,weak,сильний,слабкий,False,,сильний
treasure,wealth,скарб,багатство,False,,скарб
pistol,weapon,пістолет,зброя,False,пістолет,пістолет
internet,web,інтернет,вебсайт,False,,інтернет
engagement,wedding,заручення,весілля,False,,заручення
month,week,місяць,тиждень,False,,місяць
daily,weekly,щодня,щотижнево,False,,щодня
southern,western,південний,західний,False,,південний
dry,wet,сухий,мокро,False,,сухий
horn,whistle,рог,свисток,False,,рог
narrow,wide,вузький,широкий,False,,вузький
husband,wife,чоловік,дружина,False,,чоловік
gain,win,прибуток,перемога,False,,прибуток
loser,winner,програвець,переможець,False,,програвець
summer,winter,літо,зима,False,,літо
cable,wire,кабель,дріт,False,,кабель
desire,wish,бажання,бажання,True,надія,надія
curse,witch,прокляття,відьма,False,,прокляття
magic,wizard,магія,чарівник,False,,магія
bear,wolf,ведмедь,вовк,False,,ведмедь
widow,woman,вдова,жінка,False,,вдова
job,work,робота,робота,True,галузь роботи,галузь роботи
farmer,worker,фермер,робітник,False,,фермер
international,world,міжнародний,світ,False,,міжнародний
concern,worry,занепокоєння,турбуватися,False,,занепокоєння
useless,worthless,безкорисливий,безцінний,False,,безкорисливий
deserve,worthy,заслуговують,гідний,False,,заслуговують
read,write,прочитати,писати,False,,прочитати
poet,writer,поет,письменник,False,,поет
reading,writing,читання,письмо,False,,читання
okay,yeah,гаразд,так,False,,гаразд
red,yellow,червоний,жовтий,False,,червоний
today,yesterday,сьогодні,вчора,False,,сьогодні
old,young,старий,молодий,False,,старий
area,zone,площа,зона,False,,площа
